"name","value","taxonomy","code1","code2"
"AFGANA","AFGANA","Nacionalidad",NULL,NULL
"ALBANESA","ALBANESA","Nacionalidad",NULL,NULL
"ALEMANA","ALEMANA","Nacionalidad",NULL,NULL
"ANDORRANA","ANDORRANA","Nacionalidad",NULL,NULL
"ANGOLESA","ANGOLESA","Nacionalidad",NULL,NULL
"ANTIGUA Y BARBUDA","ANTIGUA Y BARBUDA","Nacionalidad",NULL,NULL
"SAUDI","SAUDI","Nacionalidad",NULL,NULL
"ARGELIANA","ARGELIANA","Nacionalidad",NULL,NULL
"ARGENTINA","ARGENTINA","Nacionalidad",NULL,NULL
"ARMENIA","ARMENIA","Nacionalidad",NULL,NULL
"AUSTRALIANA","AUSTRALIANA","Nacionalidad",NULL,NULL
"AUSTRIACA","AUSTRIACA","Nacionalidad",NULL,NULL
"AZERBAIYANA","AZERBAIYANA","Nacionalidad",NULL,NULL
"BAHAMEÑA","BAHAMEÑA","Nacionalidad",NULL,NULL
"BAHREINI","BAHREINI","Nacionalidad",NULL,NULL
"BANGLADESI","BANGLADESI","Nacionalidad",NULL,NULL
"BARBADENSE","BARBADENSE","Nacionalidad",NULL,NULL
"BIELORRUSA","BIELORRUSA","Nacionalidad",NULL,NULL
"BELGA","BELGA","Nacionalidad",NULL,NULL
"BELICEÑA","BELICEÑA","Nacionalidad",NULL,NULL
"BENIN","BENIN","Nacionalidad",NULL,NULL
"BHUTANESA","BHUTANESA","Nacionalidad",NULL,NULL
"BOLIVIANA","BOLIVIANA","Nacionalidad",NULL,NULL
"BOSNIA","BOSNIA","Nacionalidad",NULL,NULL
"BOTSWANESA","BOTSWANESA","Nacionalidad",NULL,NULL
"BRASILEÑA","BRASILEÑA","Nacionalidad",NULL,NULL
"BRUNEANO","BRUNEANO","Nacionalidad",NULL,NULL
"BULGARA","BULGARA","Nacionalidad",NULL,NULL
"BURKINA FASO","BURKINA FASO","Nacionalidad",NULL,NULL
"BURUNDESA","BURUNDESA","Nacionalidad",NULL,NULL
"CABOVERDIANA","CABOVERDIANA","Nacionalidad",NULL,NULL
"CAMBOYANA","CAMBOYANA","Nacionalidad",NULL,NULL
"CAMERUNESA","CAMERUNESA","Nacionalidad",NULL,NULL
"CANADIENSE","CANADIENSE","Nacionalidad",NULL,NULL
"CHADIANA","CHADIANA","Nacionalidad",NULL,NULL
"CHECA","CHECA","Nacionalidad",NULL,NULL
"CHILENA","CHILENA","Nacionalidad",NULL,NULL
"CHINA","CHINA","Nacionalidad",NULL,NULL
"CHIPRIOTA","CHIPRIOTA","Nacionalidad",NULL,NULL
"COLOMBIANA","COLOMBIANA","Nacionalidad",NULL,NULL
"COMORENSE","COMORENSE","Nacionalidad",NULL,NULL
"COSTARRICENSE","COSTARRICENSE","Nacionalidad",NULL,NULL
"MARFILEÑA","MARFILEÑA","Nacionalidad",NULL,NULL
"CROATA","CROATA","Nacionalidad",NULL,NULL
"CUBANA","CUBANA","Nacionalidad",NULL,NULL
"DANESA","DANESA","Nacionalidad",NULL,NULL
"DJIBOUTI","DJIBOUTI","Nacionalidad",NULL,NULL
"DOMINICA","DOMINICA","Nacionalidad",NULL,NULL
"ECUATORIANA","ECUATORIANA","Nacionalidad",NULL,NULL
"EGIPCIA","EGIPCIA","Nacionalidad",NULL,NULL
"SALVADOREÑA","SALVADOREÑA","Nacionalidad",NULL,NULL
"ARABE","ARABE","Nacionalidad",NULL,NULL
"ERITREA","ERITREA","Nacionalidad",NULL,NULL
"ESLOVACA","ESLOVACA","Nacionalidad",NULL,NULL
"ESLOVENIA","ESLOVENIA","Nacionalidad",NULL,NULL
"ESPAÑOLA","ESPAÑOLA","Nacionalidad",NULL,NULL
"PALESTINA","PALESTINA","Nacionalidad",NULL,NULL
"ESTADOUNIDENSE","ESTADOUNIDENSE","Nacionalidad",NULL,NULL
"ESTONIA","ESTONIA","Nacionalidad",NULL,NULL
"ETIOPE","ETIOPE","Nacionalidad",NULL,NULL
"MACEDONIA","MACEDONIA","Nacionalidad",NULL,NULL
"RUSA","RUSA","Nacionalidad",NULL,NULL
