"name","value","taxonomy","code1","code2"
"AGRICULTURA","0100008","actividad_economica",NULL,NULL
"CULTIVO DE ALPISTE","0111013","actividad_economica",NULL,NULL
"CULTIVO DE ARROZ","0111021","actividad_economica",NULL,NULL
"CULTIVO DE AVENA","0111039","actividad_economica",NULL,NULL
"CULTIVO DE CEBADA","0111047","actividad_economica",NULL,NULL
"CULTIVO DE LINAZA","0111055","actividad_economica",NULL,NULL
"CULTIVO DE MAIZ","0111063","actividad_economica",NULL,NULL
"CULTIVO DE MILO","0111071","actividad_economica",NULL,NULL
"CULTIVO DE SORGO","0111089","actividad_economica",NULL,NULL
"CULTIVO DE SOYA","0111097","actividad_economica",NULL,NULL
"CULTIVO DE TRIGO","0111104","actividad_economica",NULL,NULL
"CULTIVO DE AJO","0112011","actividad_economica",NULL,NULL
"CULTIVO DE CALABAZA","0112029","actividad_economica",NULL,NULL
"CULTIVO DE CAMOTE","0112037","actividad_economica",NULL,NULL
"CULTIVO DE CEBOLLA","0112045","actividad_economica",NULL,NULL
"CULTIVO DE CHILE","0112053","actividad_economica",NULL,NULL
"CULTIVO DE ESPARRAGO","0112061","actividad_economica",NULL,NULL
"CULTIVO DE FRIJOL","0112079","actividad_economica",NULL,NULL
"CULTIVO DE GARBANZO","0112087","actividad_economica",NULL,NULL
"CULTIVO DE JITOMATE","0112095","actividad_economica",NULL,NULL
"CULTIVO DE LENTEJA","0112102","actividad_economica",NULL,NULL
"CULTIVO DE NOPAL","0112110","actividad_economica",NULL,NULL
"CULTIVO DE OTRAS HORTALIZAS","0112128","actividad_economica",NULL,NULL
"CULTIVO DE PAPA","0112136","actividad_economica",NULL,NULL
"CULTIVO DE REMOLACHA","0112144","actividad_economica",NULL,NULL
"CULTIVO DE TOMATE","0112152","actividad_economica",NULL,NULL
"CULTIVO DE YUCA","0112160","actividad_economica",NULL,NULL
"CULTIVO DE ALFALFA","0113019","actividad_economica",NULL,NULL
"CULTIVO DE FRESA","0119017","actividad_economica",NULL,NULL
"CULTIVO DE MELON","0119025","actividad_economica",NULL,NULL
"CULTIVO DE PIÑA","0119033","actividad_economica",NULL,NULL
"CULTIVO DE SANDIA","0119041","actividad_economica",NULL,NULL
"CULTIVO DE ALGODON","0121012","actividad_economica",NULL,NULL
"CULTIVO DE CAÑA DE AZUCAR","0122010","actividad_economica",NULL,NULL
"CULTIVO DE TABACO","0123018","actividad_economica",NULL,NULL
"CULTIVO DE AJONJOLI","0124016","actividad_economica",NULL,NULL
"CULTIVO DE CACAHUATE","0124024","actividad_economica",NULL,NULL
"CULTIVO DE CARTAMO","0124032","actividad_economica",NULL,NULL
"CULTIVO DE NUEZ","0124040","actividad_economica",NULL,NULL
"CULTIVO DE OLIVO","0124058","actividad_economica",NULL,NULL
"CULTIVO DE ESPECIAS","0129016","actividad_economica",NULL,NULL
"CULTIVO DE OTRAS SEMILLAS","0129024","actividad_economica",NULL,NULL
"CULTIVO DE SEMILLAS MEJORADAS","0129032","actividad_economica",NULL,NULL
"CULTIVO DE VAINILLA","0129040","actividad_economica",NULL,NULL
"CULTIVO DE CAFE","0141010","actividad_economica",NULL,NULL
