"name","value","taxonomy","code1","code2"
"Aguascalientes","485","city_mex_mulaware",NULL,"AGU"
"Baja California","486","city_mex_mulaware",NULL,"BCN"
"Baja California Sur","487","city_mex_mulaware",NULL,"BCS"
"Campeche","490","city_mex_mulaware",NULL,"CAM"
"Chihuahua","488","city_mex_mulaware",NULL,"CHH"
"Chiapas","492","city_mex_mulaware",NULL,"CHP"
"Coahuila","491","city_mex_mulaware",NULL,"COA"
"Colima","489","city_mex_mulaware",NULL,"COL"
"Ciudad de México","493","city_mex_mulaware",NULL,"DIF"
"Durango","494","city_mex_mulaware",NULL,"DUR"
"Guerrero","495","city_mex_mulaware",NULL,"GRO"
"Guanajuato","496","city_mex_mulaware",NULL,"GUA"
"Hidalgo","497","city_mex_mulaware",NULL,"HID"
"Jalisco","498","city_mex_mulaware",NULL,"JAL"
"México","501","city_mex_mulaware",NULL,"MEX"
"Michoacán","499","city_mex_mulaware",NULL,"MIC"
"Morelos","500","city_mex_mulaware",NULL,"MOR"
"Nayarit","502","city_mex_mulaware",NULL,"NAY"
"Nuevo León","503","city_mex_mulaware",NULL,"NLE"
"Oaxaca","504","city_mex_mulaware",NULL,"OAX"
"Puebla","505","city_mex_mulaware",NULL,"PUE"
"Querétaro","507","city_mex_mulaware",NULL,"QUE"
"Quintana Roo","506","city_mex_mulaware",NULL,"ROO"
"Sinaloa","508","city_mex_mulaware",NULL,"SIN"
"San Luis Potosí","509","city_mex_mulaware",NULL,"SLP"
"Sonora","510","city_mex_mulaware",NULL,"SON"
"Tabasco","511","city_mex_mulaware",NULL,"TAB"
"Tamaulipas","513","city_mex_mulaware",NULL,"TAM"
"Tlaxcala","512","city_mex_mulaware",NULL,"TLA"
"Veracruz","514","city_mex_mulaware",NULL,"VER"
"Yucatán","515","city_mex_mulaware",NULL,"YUC"
"Zacatecas","516","city_mex_mulaware",NULL,"ZAC"
