"name","value","taxonomy","code1","code2"
"CLASIFICACIÓN","CLASIFICACIÓN","clasificacion_actividad_economica",NULL,NULL
"SERVICIOS COMUNALES  SOCIALES Y PERSONALES","SERVICIOS COMUNALES  SOCIALES Y PERSONALES","clasificacion_actividad_economica",NULL,NULL
"SERVICIOS FINANCIEROS  SEGUROS Y BIENES INMUEBLES","SERVICIOS FINANCIEROS  SEGUROS Y BIENES INMUEBLES","clasificacion_actividad_economica",NULL,NULL
"AGROPECUARIO  SILVICULTURA Y PESCA","AGROPECUARIO  SILVICULTURA Y PESCA","clasificacion_actividad_economica",NULL,NULL
"COMERCIO  RESTAURANTES Y HOTELES","COMERCIO  RESTAURANTES Y HOTELES","clasificacion_actividad_economica",NULL,NULL
"INDUSTRIA MANUFACTURERA","INDUSTRIA MANUFACTURERA","clasificacion_actividad_economica",NULL,NULL
"CONSTRUCCION","CONSTRUCCION","clasificacion_actividad_economica",NULL,NULL
"ELECTRICIDAD  GAS Y AGUA POTABLE","ELECTRICIDAD  GAS Y AGUA POTABLE","clasificacion_actividad_economica",NULL,NULL
"POLITICAMENTE EXPUESTOS","POLITICAMENTE EXPUESTOS","clasificacion_actividad_economica",NULL,NULL
"MINERIA","MINERIA","clasificacion_actividad_economica",NULL,NULL
