"name","value","taxonomy","code1","code2"
"8827018","8827018","clave_actividad",NULL,NULL
"8314015","8314015","clave_actividad",NULL,NULL
"6999174","6999174","clave_actividad",NULL,NULL
"7513014","7513014","clave_actividad",NULL,NULL
"7122013","7122013","clave_actividad",NULL,NULL
"8422016","8422016","clave_actividad",NULL,NULL
"7512016","7512016","clave_actividad",NULL,NULL
"6992011","6992011","clave_actividad",NULL,NULL
"8211021","8211021","clave_actividad",NULL,NULL
"8219017","8219017","clave_actividad",NULL,NULL
"100008","100008","clave_actividad",NULL,NULL
"9300005","9300005","clave_actividad",NULL,NULL
"8131013","8131013","clave_actividad",NULL,NULL
"8131021","8131021","clave_actividad",NULL,NULL
"8523012","8523012","clave_actividad",NULL,NULL
"7519020","7519020","clave_actividad",NULL,NULL
"8519011","8519011","clave_actividad",NULL,NULL
"8529010","8529010","clave_actividad",NULL,NULL
"8311011","8311011","clave_actividad",NULL,NULL
"8524010","8524010","clave_actividad",NULL,NULL
"9900908","9900908","clave_actividad",NULL,NULL
"8511025","8511025","clave_actividad",NULL,NULL
"8511033","8511033","clave_actividad",NULL,NULL
"8512015","8512015","clave_actividad",NULL,NULL
"8312019","8312019","clave_actividad",NULL,NULL
"8511017","8511017","clave_actividad",NULL,NULL
"8400002","8400002","clave_actividad",NULL,NULL
"9311010","9311010","clave_actividad",NULL,NULL
"6999166","6999166","clave_actividad",NULL,NULL
"8932015","8932015","clave_actividad",NULL,NULL
"8721012","8721012","clave_actividad",NULL,NULL
"8141012","8141012","clave_actividad",NULL,NULL
"8711013","8711013","clave_actividad",NULL,NULL
"8219041","8219041","clave_actividad",NULL,NULL
"9311028","9311028","clave_actividad",NULL,NULL
"9311036","9311036","clave_actividad",NULL,NULL
"9900903","9900903","clave_actividad",NULL,NULL
"8219025","8219025","clave_actividad",NULL,NULL
"8211039","8211039","clave_actividad",NULL,NULL
"8211047","8211047","clave_actividad",NULL,NULL
"500000","500000","clave_actividad",NULL,NULL
"9221011","9221011","clave_actividad",NULL,NULL
"6999992","6999992","clave_actividad",NULL,NULL
"8722010","8722010","clave_actividad",NULL,NULL
"8426018","8426018","clave_actividad",NULL,NULL
"8133019","8133019","clave_actividad",NULL,NULL
"8133027","8133027","clave_actividad",NULL,NULL
"8151011","8151011","clave_actividad",NULL,NULL
"8151029","8151029","clave_actividad",NULL,NULL
"6911029","6911029","clave_actividad",NULL,NULL
"6133011","6133011","clave_actividad",NULL,NULL
"6100002","6100002","clave_actividad",NULL,NULL
"6133029","6133029","clave_actividad",NULL,NULL
"6325014","6325014","clave_actividad",NULL,NULL
"6900001","6900001","clave_actividad",NULL,NULL
"6321012","6321012","clave_actividad",NULL,NULL
"6622022","6622022","clave_actividad",NULL,NULL
"6215017","6215017","clave_actividad",NULL,NULL
"6222012","6222012","clave_actividad",NULL,NULL
"6692017","6692017","clave_actividad",NULL,NULL
"6225016","6225016","clave_actividad",NULL,NULL
"6626024","6626024","clave_actividad",NULL,NULL
"6229018","6229018","clave_actividad",NULL,NULL
"6732011","6732011","clave_actividad",NULL,NULL
"6999108","6999108","clave_actividad",NULL,NULL
"6322010","6322010","clave_actividad",NULL,NULL
"6300008","6300008","clave_actividad",NULL,NULL
"6325030","6325030","clave_actividad",NULL,NULL
"6732029","6732029","clave_actividad",NULL,NULL
"6811013","6811013","clave_actividad",NULL,NULL
"6813019","6813019","clave_actividad",NULL,NULL
"6900006","6900006","clave_actividad",NULL,NULL
"6212013","6212013","clave_actividad",NULL,NULL
"6124010","6124010","clave_actividad",NULL,NULL
"6122014","6122014","clave_actividad",NULL,NULL
"6911045","6911045","clave_actividad",NULL,NULL
"6621016","6621016","clave_actividad",NULL,NULL
"6135017","6135017","clave_actividad",NULL,NULL
"6699021","6699021","clave_actividad",NULL,NULL
"6900002","6900002","clave_actividad",NULL,NULL
"6132013","6132013","clave_actividad",NULL,NULL
"6729034","6729034","clave_actividad",NULL,NULL
"6721036","6721036","clave_actividad",NULL,NULL
"6714035","6714035","clave_actividad",NULL,NULL
"6800008","6800008","clave_actividad",NULL,NULL
"6722012","6722012","clave_actividad",NULL,NULL
"6729018","6729018","clave_actividad",NULL,NULL
"6132021","6132021","clave_actividad",NULL,NULL
"6691019","6691019","clave_actividad",NULL,NULL
"6622014","6622014","clave_actividad",NULL,NULL
"6694013","6694013","clave_actividad",NULL,NULL
"6326020","6326020","clave_actividad",NULL,NULL
"6511019","6511019","clave_actividad",NULL,NULL
"6112015","6112015","clave_actividad",NULL,NULL
"6512017","6512017","clave_actividad",NULL,NULL
"6500004","6500004","clave_actividad",NULL,NULL
"6513015","6513015","clave_actividad",NULL,NULL
"6224018","6224018","clave_actividad",NULL,NULL
"6999033","6999033","clave_actividad",NULL,NULL
"6223010","6223010","clave_actividad",NULL,NULL
"6132039","6132039","clave_actividad",NULL,NULL
"6112023","6112023","clave_actividad",NULL,NULL
"6227012","6227012","clave_actividad",NULL,NULL
"6515011","6515011","clave_actividad",NULL,NULL
"6624010","6624010","clave_actividad",NULL,NULL
"6714019","6714019","clave_actividad",NULL,NULL
"6714027","6714027","clave_actividad",NULL,NULL
"6629010","6629010","clave_actividad",NULL,NULL
"6126024","6126024","clave_actividad",NULL,NULL
"6699039","6699039","clave_actividad",NULL,NULL
"6600002","6600002","clave_actividad",NULL,NULL
"6231013","6231013","clave_actividad",NULL,NULL
"6813027","6813027","clave_actividad",NULL,NULL
"6312011","6312011","clave_actividad",NULL,NULL
"6721022","6721022","clave_actividad",NULL,NULL
"6225024","6225024","clave_actividad",NULL,NULL
"6619053","6619053","clave_actividad",NULL,NULL
"6619037","6619037","clave_actividad",NULL,NULL
"6419015","6419015","clave_actividad",NULL,NULL
"6311039","6311039","clave_actividad",NULL,NULL
