"name","value","taxonomy","code1","code2"
"Barbados","19","countries_soda",NULL,NULL
"Bielorrusia","20","countries_soda",NULL,NULL
"Armenia","10","countries_soda",NULL,NULL
"Aruba","11","countries_soda",NULL,NULL
"Ascensión","12","countries_soda",NULL,NULL
"Australia","13","countries_soda",NULL,NULL
"Austria","14","countries_soda",NULL,NULL
"Azerbaiyán","15","countries_soda",NULL,NULL
"Azores","16","countries_soda",NULL,NULL
"Baréin","17","countries_soda",NULL,NULL
"Bangladés","18","countries_soda",NULL,NULL
"Afganistán","1","countries_soda",NULL,NULL
"Albania","2","countries_soda",NULL,NULL
"Argelia","3","countries_soda",NULL,NULL
"Samoa Americana","4","countries_soda",NULL,NULL
"Andorra","5","countries_soda",NULL,NULL
"Angola","6","countries_soda",NULL,NULL
"Anguila","7","countries_soda",NULL,NULL
"Antigua y Barbuda","8","countries_soda",NULL,NULL
"Argentina","9","countries_soda",NULL,NULL
"Bélgica","21","countries_soda",NULL,NULL
"Belice","22","countries_soda",NULL,NULL
"Benín","23","countries_soda",NULL,NULL
"Bermudas","24","countries_soda",NULL,NULL
"Bután","25","countries_soda",NULL,NULL
"Bolivia","26","countries_soda",NULL,NULL
"Bosnia y Herzegovina","27","countries_soda",NULL,NULL
"Botsuana","28","countries_soda",NULL,NULL
"Brasil","29","countries_soda",NULL,NULL
"Islas Vírgenes Británicas","30","countries_soda",NULL,NULL
"Brunéi","31","countries_soda",NULL,NULL
"Bulgaria","32","countries_soda",NULL,NULL
"Burkina Faso","33","countries_soda",NULL,NULL
"Burundi","34","countries_soda",NULL,NULL
"Camboya","35","countries_soda",NULL,NULL
"Camerún","36","countries_soda",NULL,NULL
"Campione d’Italia","37","countries_soda",NULL,NULL
"Canadá","38","countries_soda",NULL,NULL
"Islas Canarias","39","countries_soda",NULL,NULL
"Zona Especial Canaria","40","countries_soda",NULL,NULL
"Cabo Verde","41","countries_soda",NULL,NULL
"Islas Caimán","42","countries_soda",NULL,NULL
"República Centroafricana","43","countries_soda",NULL,NULL
"Chad","44","countries_soda",NULL,NULL
"Chile","45","countries_soda",NULL,NULL
"China","46","countries_soda",NULL,NULL
"Taipéi Chino","47","countries_soda",NULL,NULL
" Isla de Navidad","48","countries_soda",NULL,NULL
" Islas Cocos (Keeling)","49","countries_soda",NULL,NULL
"Colombia","50","countries_soda",NULL,NULL
"Comoras","51","countries_soda",NULL,NULL
"Islas Cook","52","countries_soda",NULL,NULL
"Costa Rica","53","countries_soda",NULL,NULL
"Croacia","54","countries_soda",NULL,NULL
"Cuba","55","countries_soda",NULL,NULL
"Curazao","56","countries_soda",NULL,NULL
"Chipre","57","countries_soda",NULL,NULL
"República Checa","58","countries_soda",NULL,NULL
"República Democrática del Congo","59","countries_soda",NULL,NULL
"Corea del Norte","60","countries_soda",NULL,NULL
"Dinamarca","61","countries_soda",NULL,NULL
"Yibuti","62","countries_soda",NULL,NULL
"Dominica","63","countries_soda",NULL,NULL
"República Dominicana","64","countries_soda",NULL,NULL
"Ecuador","65","countries_soda",NULL,NULL
"Egipto","66","countries_soda",NULL,NULL
"El Salvador","67","countries_soda",NULL,NULL
"Guinea Ecuatorial","68","countries_soda",NULL,NULL
"Eritrea","69","countries_soda",NULL,NULL
"Estonia","70","countries_soda",NULL,NULL
"Esuatini","71","countries_soda",NULL,NULL
"Etiopía","72","countries_soda",NULL,NULL
"Islas Malvinas","73","countries_soda",NULL,NULL
"Islas Feroe","74","countries_soda",NULL,NULL
"Fiyi","75","countries_soda",NULL,NULL
"Finlandia","76","countries_soda",NULL,NULL
"Francia","77","countries_soda",NULL,NULL
"Polinesia Francesa","78","countries_soda",NULL,NULL
