"name","value","taxonomy","code1","code2"
"2 Meses","2","creditterm_soda",NULL,NULL
"3 Meses","3","creditterm_soda",NULL,NULL
"4 Meses","4","creditterm_soda",NULL,NULL
"5 Meses","5","creditterm_soda",NULL,NULL
"6 Meses","6","creditterm_soda",NULL,NULL
"7 Meses","7","creditterm_soda",NULL,NULL
"8 Meses","8","creditterm_soda",NULL,NULL
"9 Meses","9","creditterm_soda",NULL,NULL
"10 Meses","10","creditterm_soda",NULL,NULL
"11 Meses","11","creditterm_soda",NULL,NULL
"12 Meses","12","creditterm_soda",NULL,NULL
"13 Meses","13","creditterm_soda",NULL,NULL
"14 Meses","14","creditterm_soda",NULL,NULL
"15 Meses","15","creditterm_soda",NULL,NULL
"16 Meses","16","creditterm_soda",NULL,NULL
"17 Meses","17","creditterm_soda",NULL,NULL
"18 Meses","18","creditterm_soda",NULL,NULL
"19 Meses","19","creditterm_soda",NULL,NULL
"20 Meses","20","creditterm_soda",NULL,NULL
"21 Meses","21","creditterm_soda",NULL,NULL
"22 Meses","22","creditterm_soda",NULL,NULL
"23 Meses","23","creditterm_soda",NULL,NULL
"24 Meses","24","creditterm_soda",NULL,NULL
"25 Meses","25","creditterm_soda",NULL,NULL
"26 Meses","26","creditterm_soda",NULL,NULL
"27 Meses","27","creditterm_soda",NULL,NULL
"28 Meses","28","creditterm_soda",NULL,NULL
"29 Meses","29","creditterm_soda",NULL,NULL
"30 Meses","30","creditterm_soda",NULL,NULL
"31 Meses","31","creditterm_soda",NULL,NULL
"32 Meses","32","creditterm_soda",NULL,NULL
"33 Meses","33","creditterm_soda",NULL,NULL
"34 Meses","34","creditterm_soda",NULL,NULL
"35 Meses","35","creditterm_soda",NULL,NULL
"36 Meses","36","creditterm_soda",NULL,NULL
"37 Meses","37","creditterm_soda",NULL,NULL
"38 Meses","38","creditterm_soda",NULL,NULL
"39 Meses","39","creditterm_soda",NULL,NULL
"40 Meses","40","creditterm_soda",NULL,NULL
"41 Meses","41","creditterm_soda",NULL,NULL
"42 Meses","42","creditterm_soda",NULL,NULL
"43 Meses","43","creditterm_soda",NULL,NULL
"44 Meses","44","creditterm_soda",NULL,NULL
"45 Meses","45","creditterm_soda",NULL,NULL
"46 Meses","46","creditterm_soda",NULL,NULL
"47 Meses","47","creditterm_soda",NULL,NULL
"48 Meses","48","creditterm_soda",NULL,NULL
"49 Meses","49","creditterm_soda",NULL,NULL
"50 Meses","50","creditterm_soda",NULL,NULL
"51 Meses","51","creditterm_soda",NULL,NULL
"52 Meses","52","creditterm_soda",NULL,NULL
"53 Meses","53","creditterm_soda",NULL,NULL
"54 Meses","54","creditterm_soda",NULL,NULL
"55 Meses","55","creditterm_soda",NULL,NULL
"56 Meses","56","creditterm_soda",NULL,NULL
"57 Meses","57","creditterm_soda",NULL,NULL
"58 Meses","58","creditterm_soda",NULL,NULL
"59 Meses","59","creditterm_soda",NULL,NULL
"60 Meses","60","creditterm_soda",NULL,NULL
