"name","value","taxonomy","code1","code2"
"DIRHAM DE LOS EMIRATOS  ARABES UNIDOS","AED","currency",NULL,NULL
"AFGANI AFGANO","AFN","currency",NULL,NULL
"LEK ALBANO","ALL","currency",NULL,NULL
"DRAM ARMENIO","AMD","currency",NULL,NULL
"GUILDER DE LAS ANTILLAS HOLANDESAS","ANG","currency",NULL,NULL
"KWANZA ANGOLEÑO","AOA","currency",NULL,NULL
"PESO ARGENTINO","ARS","currency",NULL,NULL
"DOLAR AUSTRALIANO","AUD","currency",NULL,NULL
"GUILDER DE ARUBA","AWG","currency",NULL,NULL
"MANAT AZERBAIYANO","AZN","currency",NULL,NULL
"MARCO CONVERTIBLE DE BOSNIA-HERZEGOVINA","BAM","currency",NULL,NULL
"DOLAR DE BARBADOS","BBD","currency",NULL,NULL
"TAKA DE BANGLADESH","BDT","currency",NULL,NULL
"LEV BULGARO","BGN","currency",NULL,NULL
"DINAR BAHREINI","BHD","currency",NULL,NULL
"FRANCO BURUNDES","BIF","currency",NULL,NULL
"DOLAR DE BERMUDA","BMD","currency",NULL,NULL
"DOLAR DE BRUNEI","BND","currency",NULL,NULL
"BOLIVIANO","BOB","currency",NULL,NULL
"REAL BRASILEÑO","BRL","currency",NULL,NULL
"DOLAR BAHAMEÑO","BSD","currency",NULL,NULL
"NGULTRUM DE BUT AN","BTN","currency",NULL,NULL
"PULA DE BOTSWANA","BWP","currency",NULL,NULL
"RUBLO BIELORRUSO","BYR","currency",NULL,NULL
"DOLAR DE BELICE","BZD","currency",NULL,NULL
"DOLAR CANADIENSE","CAD","currency",NULL,NULL
"FRANCO CONGOLEÑO","CDF","currency",NULL,NULL
"WIR EURO","CHE","currency",NULL,NULL
"FRANCO SUIZO","CHF","currency",NULL,NULL
"WIR FRANC","CHW","currency",NULL,NULL
"PESO CHILENO","CLP","currency",NULL,NULL
"YUAN RENMINBI","CNY","currency",NULL,NULL
"PESO COLOMBIANO","COP","currency",NULL,NULL
"COLON COSTARRICENSE","CRC","currency",NULL,NULL
"PESO CUBANO CONVERTIBLE","CUC","currency",NULL,NULL
"PESO CUBANO","CUP","currency",NULL,NULL
"ESCUDO CABOVERDIANO","CVE","currency",NULL,NULL
"KORUNA CHECO","CZK","currency",NULL,NULL
"FRANCO YIBUTIANO","DJF","currency",NULL,NULL
"CORONA DANESA","DKK","currency",NULL,NULL
"PESO DOMINICANO","DOP","currency",NULL,NULL
"DINAR ARGELINO","DZD","currency",NULL,NULL
"CORONA DE ESTONIA","EEK","currency",NULL,NULL
"LIBRA EGIPCIA","EGP","currency",NULL,NULL
"NAKFA ERITREO","ERN","currency",NULL,NULL
"BIRR ETIOPE","ETB","currency",NULL,NULL
"EURO","EUR","currency",NULL,NULL
"DOLAR FIJIANO","FJD","currency",NULL,NULL
"LIBRA MALVINENSE","FKP","currency",NULL,NULL
"LIBRA ESTERLINA  DE GRAN BRETAÑA","GBP","currency",NULL,NULL
"LARI GEORGIANO","GEL","currency",NULL,NULL
"CEDI GHANES","GHS","currency",NULL,NULL
