"name","value","taxonomy","code1","code2"
"Se desconoce (tentativa)","1","economicactivity_soda",NULL,NULL
"Agricultura","2","economicactivity_soda",NULL,NULL
"Cultivo de alpiste","3","economicactivity_soda",NULL,NULL
"Cultivo de arroz","4","economicactivity_soda",NULL,NULL
"Cultivo de avena","5","economicactivity_soda",NULL,NULL
"Cultivo de cebada","6","economicactivity_soda",NULL,NULL
"Cultivo de linaza","7","economicactivity_soda",NULL,NULL
"Cultivo de maiz","8","economicactivity_soda",NULL,NULL
"Cultivo de milo","9","economicactivity_soda",NULL,NULL
"Cultivo de sorgo","10","economicactivity_soda",NULL,NULL
"Cultivo de soya","11","economicactivity_soda",NULL,NULL
"Cultivo de trigo","12","economicactivity_soda",NULL,NULL
"Cultivo de ajo","13","economicactivity_soda",NULL,NULL
"Cultivo de calabaza","14","economicactivity_soda",NULL,NULL
"Cultivo de camote","15","economicactivity_soda",NULL,NULL
"Cultivo de cebolla","16","economicactivity_soda",NULL,NULL
"Cultivo de chile","17","economicactivity_soda",NULL,NULL
"Cultivo de esparrago","18","economicactivity_soda",NULL,NULL
"Cultivo de frijol","19","economicactivity_soda",NULL,NULL
"Cultivo de garbanzo","20","economicactivity_soda",NULL,NULL
"Cultivo de jitomate","21","economicactivity_soda",NULL,NULL
"Cultivo de lenteja","22","economicactivity_soda",NULL,NULL
"Cultivo de nopal","23","economicactivity_soda",NULL,NULL
"Cultivo de otras hortalizas","24","economicactivity_soda",NULL,NULL
"Cultivo de papa","25","economicactivity_soda",NULL,NULL
"Cultivo de remolacha","26","economicactivity_soda",NULL,NULL
"Cultivo de tomate","27","economicactivity_soda",NULL,NULL
"Cultivo de yuca","28","economicactivity_soda",NULL,NULL
"Cultivo de alfalfa","29","economicactivity_soda",NULL,NULL
"Cultivo de fresa","30","economicactivity_soda",NULL,NULL
"Cultivo de melon","31","economicactivity_soda",NULL,NULL
"Cultivo de piña","32","economicactivity_soda",NULL,NULL
"Cultivo de sandia","33","economicactivity_soda",NULL,NULL
"Cultivo de algodon","34","economicactivity_soda",NULL,NULL
"Cultivo de caña de azucar","35","economicactivity_soda",NULL,NULL
"Cultivo de tabaco","36","economicactivity_soda",NULL,NULL
"Cultivo de ajonjoli","37","economicactivity_soda",NULL,NULL
"Cultivo de cacahuate","38","economicactivity_soda",NULL,NULL
"Cultivo de cartamo","39","economicactivity_soda",NULL,NULL
"Cultivo de nuez","40","economicactivity_soda",NULL,NULL
"Cultivo de olivo","41","economicactivity_soda",NULL,NULL
"Cultivo de especias","42","economicactivity_soda",NULL,NULL
"Cultivo de otras semillas","43","economicactivity_soda",NULL,NULL
"Cultivo de semillas mejoradas","44","economicactivity_soda",NULL,NULL
"Cultivo de vainilla","45","economicactivity_soda",NULL,NULL
"Cultivo de flores y plantas de ornato","46","economicactivity_soda",NULL,NULL
"Cultivo de cafe","47","economicactivity_soda",NULL,NULL
"Cultivo de aguacate","48","economicactivity_soda",NULL,NULL
"Cultivo de durazno","49","economicactivity_soda",NULL,NULL
"Cultivo de guayaba","50","economicactivity_soda",NULL,NULL
"Cultivo de limon","51","economicactivity_soda",NULL,NULL
"Cultivo de mango","52","economicactivity_soda",NULL,NULL
"Cultivo de manzana","53","economicactivity_soda",NULL,NULL
"Cultivo de naranja","54","economicactivity_soda",NULL,NULL
"Cultivo de otros arboles frutales","55","economicactivity_soda",NULL,NULL
"Cultivo de papaya","56","economicactivity_soda",NULL,NULL
"Cultivo de platano","57","economicactivity_soda",NULL,NULL
"Cultivo de tamarindo","58","economicactivity_soda",NULL,NULL
"Cultivo de toronja","59","economicactivity_soda",NULL,NULL
"Cultivo de vid","60","economicactivity_soda",NULL,NULL
"Cultivo de henequen","61","economicactivity_soda",NULL,NULL
"Cultivo de lino","62","economicactivity_soda",NULL,NULL
"Cultivo de otras fibras duras","63","economicactivity_soda",NULL,NULL
"Cultivo de agave o mezcal","64","economicactivity_soda",NULL,NULL
"Cultivo de maguey","65","economicactivity_soda",NULL,NULL
"Cultivo de copra","66","economicactivity_soda",NULL,NULL
"Cultivo de cacao","67","economicactivity_soda",NULL,NULL
"Otros cultivos permanentes","68","economicactivity_soda",NULL,NULL
"Usuarios menores agricultura","69","economicactivity_soda",NULL,NULL
"Cartera agricola de estados analiticos","70","economicactivity_soda",NULL,NULL
"Irrigacion de tierras","71","economicactivity_soda",NULL,NULL
"Preparacion de tierras de cultivo y otros servicios agricolas","72","economicactivity_soda",NULL,NULL
"Ganadería","73","economicactivity_soda",NULL,NULL
"Cria y explotacion de ganado vacuno para carne","74","economicactivity_soda",NULL,NULL
"Cria y explotacion de ganado vacuno para leche","75","economicactivity_soda",NULL,NULL
"Cria de ganado de lidia","76","economicactivity_soda",NULL,NULL
"Cria de ganado caballar","77","economicactivity_soda",NULL,NULL
"Cria de otros equinos y ganado para el trabajo","78","economicactivity_soda",NULL,NULL
"Usuarios menores ganaderia","79","economicactivity_soda",NULL,NULL
"Cartera ganadera de estados analiticos","80","economicactivity_soda",NULL,NULL
"Cria y explotacion de ganado porcino","81","economicactivity_soda",NULL,NULL
"Cria y explotacion de ganado ovino","82","economicactivity_soda",NULL,NULL
"Cria y explotacion de ganado caprino","83","economicactivity_soda",NULL,NULL
"Cria y explotacion de gallina para produccion de huevo","84","economicactivity_soda",NULL,NULL
"Cria y explotacion de pollos","85","economicactivity_soda",NULL,NULL
"Cria y explotacion de otras aves para alimentacion","86","economicactivity_soda",NULL,NULL
"Cria y explotacion de abejas","87","economicactivity_soda",NULL,NULL
"Cria y explotacion de conejos y liebres","88","economicactivity_soda",NULL,NULL
"Cria y explotacion de animales domesticos, para laboratorio y otros fines no alimenticios","89","economicactivity_soda",NULL,NULL
"Cria y explotacion de gusano de seda","90","economicactivity_soda",NULL,NULL
"Formacion de praderas y potreros artificiales","91","economicactivity_soda",NULL,NULL
"Inseminacion artificial y otros servicios de ganaderia","92","economicactivity_soda",NULL,NULL
"Silvicultura","93","economicactivity_soda",NULL,NULL
"Plantacion y reforestacion","94","economicactivity_soda",NULL,NULL
"Policía","1235","economicactivity_soda",NULL,NULL
"Extraccion de troncos para aserraderos y para pulpa incluso la madera toscamente aserrada","95","economicactivity_soda",NULL,NULL
"Extraccion de carbon vegetal","96","economicactivity_soda",NULL,NULL
"Extraccion de chicle","97","economicactivity_soda",NULL,NULL
"Explotacion de candelilla","98","economicactivity_soda",NULL,NULL
"Explotacion de hule","99","economicactivity_soda",NULL,NULL
"Extraccion de colofonia","100","economicactivity_soda",NULL,NULL
"Extraccion de otras resinas","101","economicactivity_soda",NULL,NULL
"Explotacion de raices","102","economicactivity_soda",NULL,NULL
