"name","value","taxonomy","code1","code2"
"AGRICULTURA","AGRICULTURA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE ALPISTE","CULTIVO DE ALPISTE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE ARROZ","CULTIVO DE ARROZ","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE AVENA","CULTIVO DE AVENA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CEBADA","CULTIVO DE CEBADA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE LINAZA","CULTIVO DE LINAZA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE MAIZ","CULTIVO DE MAIZ","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE MILO","CULTIVO DE MILO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE SORGO","CULTIVO DE SORGO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE SOYA","CULTIVO DE SOYA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE TRIGO","CULTIVO DE TRIGO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE AJO","CULTIVO DE AJO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CALABAZA","CULTIVO DE CALABAZA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CAMOTE","CULTIVO DE CAMOTE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CEBOLLA","CULTIVO DE CEBOLLA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CHILE","CULTIVO DE CHILE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE ESPARRAGO","CULTIVO DE ESPARRAGO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE FRIJOL","CULTIVO DE FRIJOL","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE GARBANZO","CULTIVO DE GARBANZO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE JITOMATE","CULTIVO DE JITOMATE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE LENTEJA","CULTIVO DE LENTEJA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE NOPAL","CULTIVO DE NOPAL","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE PAPA","CULTIVO DE PAPA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE REMOLACHA","CULTIVO DE REMOLACHA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE TOMATE","CULTIVO DE TOMATE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE YUCA","CULTIVO DE YUCA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE ALFALFA","CULTIVO DE ALFALFA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE FRESA","CULTIVO DE FRESA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE MELON","CULTIVO DE MELON","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE PIÑA","CULTIVO DE PIÑA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE SANDIA","CULTIVO DE SANDIA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE ALGODON","CULTIVO DE ALGODON","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CAÑA DE AZUCAR","CULTIVO DE CAÑA DE AZUCAR","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE TABACO","CULTIVO DE TABACO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE AJONJOLI","CULTIVO DE AJONJOLI","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CACAHUATE","CULTIVO DE CACAHUATE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CARTAMO","CULTIVO DE CARTAMO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE NUEZ","CULTIVO DE NUEZ","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE OLIVO","CULTIVO DE OLIVO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE ESPECIAS","CULTIVO DE ESPECIAS","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE OTRAS SEMILLAS","CULTIVO DE OTRAS SEMILLAS","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE SEMILLAS MEJORADAS","CULTIVO DE SEMILLAS MEJORADAS","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE VAINILLA","CULTIVO DE VAINILLA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE FLORES Y PLANTAS DE ORNATO","CULTIVO DE FLORES Y PLANTAS DE ORNATO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CAFE","CULTIVO DE CAFE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE AGUACATE","CULTIVO DE AGUACATE","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE DURAZNO","CULTIVO DE DURAZNO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE GUAYABA","CULTIVO DE GUAYABA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE LIMON","CULTIVO DE LIMON","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE MANGO","CULTIVO DE MANGO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE MANZANA","CULTIVO DE MANZANA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE NARANJA","CULTIVO DE NARANJA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE OTROS ARBOLES FRUTALES","CULTIVO DE OTROS ARBOLES FRUTALES","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE PAPAYA","CULTIVO DE PAPAYA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE PLATANO","CULTIVO DE PLATANO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE TAMARINDO","CULTIVO DE TAMARINDO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE TORONJA","CULTIVO DE TORONJA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE VID","CULTIVO DE VID","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE HENEQUEN","CULTIVO DE HENEQUEN","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE LINO","CULTIVO DE LINO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE OTRAS FIBRAS DURAS","CULTIVO DE OTRAS FIBRAS DURAS","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE AGAVE O MEZCAL","CULTIVO DE AGAVE O MEZCAL","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE MAGUEY","CULTIVO DE MAGUEY","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE COPRA","CULTIVO DE COPRA","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE CACAO","CULTIVO DE CACAO","enpagos_actividad_economica",NULL,NULL
"OTROS CULTIVOS PERMANENTES","OTROS CULTIVOS PERMANENTES","enpagos_actividad_economica",NULL,NULL
"USUARIOS MENORES AGRICULTURA","USUARIOS MENORES AGRICULTURA","enpagos_actividad_economica",NULL,NULL
"CARTERA AGRICOLA DE ESTADOS ANALITICOS","CARTERA AGRICOLA DE ESTADOS ANALITICOS","enpagos_actividad_economica",NULL,NULL
"IRRIGACION DE TIERRAS","IRRIGACION DE TIERRAS","enpagos_actividad_economica",NULL,NULL
"PREPARACION DE TIERRAS DE CULTIVO Y OTROS SERVICIOS AGRICOLAS","PREPARACION DE TIERRAS DE CULTIVO Y OTROS SERVICIOS AGRICOLAS","enpagos_actividad_economica",NULL,NULL
"GANADERÍA","GANADERÍA","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GANADO VACUNO PARA CARNE","CRIA Y EXPLOTACION DE GANADO VACUNO PARA CARNE","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GANADO VACUNO PARA LECHE","CRIA Y EXPLOTACION DE GANADO VACUNO PARA LECHE","enpagos_actividad_economica",NULL,NULL
"CRIA DE GANADO DE LIDIA","CRIA DE GANADO DE LIDIA","enpagos_actividad_economica",NULL,NULL
"CRIA DE GANADO CABALLAR","CRIA DE GANADO CABALLAR","enpagos_actividad_economica",NULL,NULL
"CRIA DE OTROS EQUINOS Y GANADO PARA EL TRABAJO","CRIA DE OTROS EQUINOS Y GANADO PARA EL TRABAJO","enpagos_actividad_economica",NULL,NULL
"USUARIOS MENORES GANADERIA","USUARIOS MENORES GANADERIA","enpagos_actividad_economica",NULL,NULL
"CARTERA GANADERA DE ESTADOS ANALITICOS","CARTERA GANADERA DE ESTADOS ANALITICOS","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GANADO PORCINO","CRIA Y EXPLOTACION DE GANADO PORCINO","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GANADO OVINO","CRIA Y EXPLOTACION DE GANADO OVINO","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GANADO CAPRINO","CRIA Y EXPLOTACION DE GANADO CAPRINO","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GALLINA PARA PRODUCCION DE HUEVO","CRIA Y EXPLOTACION DE GALLINA PARA PRODUCCION DE HUEVO","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE POLLOS","CRIA Y EXPLOTACION DE POLLOS","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE OTRAS AVES PARA ALIMENTACION","CRIA Y EXPLOTACION DE OTRAS AVES PARA ALIMENTACION","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE ABEJAS","CRIA Y EXPLOTACION DE ABEJAS","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE CONEJOS Y LIEBRES","CRIA Y EXPLOTACION DE CONEJOS Y LIEBRES","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE ANIMALES DOMESTICOS, PARA LABORATORIO Y OTROS FINES NO ALIMENTICIOS","CRIA Y EXPLOTACION DE ANIMALES DOMESTICOS, PARA LABORATORIO Y OTROS FINES NO ALIMENTICIOS","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE GUSANO DE SEDA","CRIA Y EXPLOTACION DE GUSANO DE SEDA","enpagos_actividad_economica",NULL,NULL
"FORMACION DE PRADERAS Y POTREROS ARTIFICIALES","FORMACION DE PRADERAS Y POTREROS ARTIFICIALES","enpagos_actividad_economica",NULL,NULL
"INSEMINACION ARTIFICIAL Y OTROS SERVICIOS DE GANADERIA","INSEMINACION ARTIFICIAL Y OTROS SERVICIOS DE GANADERIA","enpagos_actividad_economica",NULL,NULL
"SILVICULTURA","SILVICULTURA","enpagos_actividad_economica",NULL,NULL
"PLANTACION Y REFORESTACION","PLANTACION Y REFORESTACION","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE TRONCOS PARA ASERRADEROS Y PARA PULPA INCLUSO LA MADERA TOSCAMENTE ASERRADA","EXTRACCION DE TRONCOS PARA ASERRADEROS Y PARA PULPA INCLUSO LA MADERA TOSCAMENTE ASERRADA","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE CARBON VEGETAL","EXTRACCION DE CARBON VEGETAL","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE CHICLE","EXTRACCION DE CHICLE","enpagos_actividad_economica",NULL,NULL
"EXPLOTACION DE CANDELILLA","EXPLOTACION DE CANDELILLA","enpagos_actividad_economica",NULL,NULL
"EXPLOTACION DE HULE","EXPLOTACION DE HULE","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE COLOFONIA","EXTRACCION DE COLOFONIA","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE OTRAS RESINAS","EXTRACCION DE OTRAS RESINAS","enpagos_actividad_economica",NULL,NULL
"EXPLOTACION DE RAICES","EXPLOTACION DE RAICES","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE ALQUITRAN VEGETAL","EXTRACCION DE ALQUITRAN VEGETAL","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE TREMENTINA","EXTRACCION DE TREMENTINA","enpagos_actividad_economica",NULL,NULL
"CULTIVO Y EXPLOTACION DE PALMA Y LECHUGUILLA","CULTIVO Y EXPLOTACION DE PALMA Y LECHUGUILLA","enpagos_actividad_economica",NULL,NULL
"EXPLOTACION DE BARBASCO ARBORESCENTES Y ARBUSTOS","EXPLOTACION DE BARBASCO ARBORESCENTES Y ARBUSTOS","enpagos_actividad_economica",NULL,NULL
"USUARIOS MENORES SILVICULTURA, PESCA Y PRESERVACION DE ANIMALES SALVAJES","USUARIOS MENORES SILVICULTURA, PESCA Y PRESERVACION DE ANIMALES SALVAJES","enpagos_actividad_economica",NULL,NULL
"CARTERA SILVICOLA DE ESTADOS ANALITICOS","CARTERA SILVICOLA DE ESTADOS ANALITICOS","enpagos_actividad_economica",NULL,NULL
"SERVICIOS DE CORTADO ESTIMACION DEL VOLUMEN DE MADERA PROTECCION DE BOSQUES Y OTROS SERVICIOS RELATIVOS A LA EXPLOTACION FORESTAL","SERVICIOS DE CORTADO ESTIMACION DEL VOLUMEN DE MADERA PROTECCION DE BOSQUES Y OTROS SERVICIOS RELATIVOS A LA EXPLOTACION FORESTAL","enpagos_actividad_economica",NULL,NULL
"PESCA","PESCA","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE ATUN BONITO BARRILETE Y SIMILARES","CAPTURA DE ATUN BONITO BARRILETE Y SIMILARES","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE SARDINA Y SIMILARES","CAPTURA DE SARDINA Y SIMILARES","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE TIBURON CAZON RAYA Y SIMILARES","CAPTURA DE TIBURON CAZON RAYA Y SIMILARES","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE OTROS PECES EN ESTUARIOS COSTAS O ALTA MAR","CAPTURA DE OTROS PECES EN ESTUARIOS COSTAS O ALTA MAR","enpagos_actividad_economica",NULL,NULL
"CARTERA PESQUERA DE ESTADOS ANALITICOS","CARTERA PESQUERA DE ESTADOS ANALITICOS","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE CAMARON","CAPTURA DE CAMARON","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE OSTION","CAPTURA DE OSTION","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE OTROS CRUSTACEOS Y MOLUSCOS MARINOS","CAPTURA DE OTROS CRUSTACEOS Y MOLUSCOS MARINOS","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE TORTUGA Y OTROS REPTILES MARINOS","CAPTURA DE TORTUGA Y OTROS REPTILES MARINOS","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE MAMIFEROS ANFIBIOS Y DIVERSOS INVERTEBRADOS DE MAR","CAPTURA DE MAMIFEROS ANFIBIOS Y DIVERSOS INVERTEBRADOS DE MAR","enpagos_actividad_economica",NULL,NULL
"RECOLECCION DE CONCHAS HUEVOS CORALES ESPONJAS Y PERLAS","RECOLECCION DE CONCHAS HUEVOS CORALES ESPONJAS Y PERLAS","enpagos_actividad_economica",NULL,NULL
"RECOLECCION DE ALGAS Y OTRAS PLANTAS ACUATICAS","RECOLECCION DE ALGAS Y OTRAS PLANTAS ACUATICAS","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE PECES EN RIOS  LAGOS Y ESTUARIOS","CAPTURA DE PECES EN RIOS  LAGOS Y ESTUARIOS","enpagos_actividad_economica",NULL,NULL
"CAPTURA DE CRUSTACEOS MOLUSCOS REPTILES ANFIBIOS Y OTRA FAUNA DE AGUA DULCE","CAPTURA DE CRUSTACEOS MOLUSCOS REPTILES ANFIBIOS Y OTRA FAUNA DE AGUA DULCE","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE OSTRAS","CRIA Y EXPLOTACION DE OSTRAS","enpagos_actividad_economica",NULL,NULL
"CRIA Y EXPLOTACION DE PECES  OTRAS ESPECIES ANIMALES Y PLANTAS ACUATICAS","CRIA Y EXPLOTACION DE PECES  OTRAS ESPECIES ANIMALES Y PLANTAS ACUATICAS","enpagos_actividad_economica",NULL,NULL
"SERVICIOS DE PESQUERIAS MARITIMAS Y DE AGUA DULCE POR CONTRATO","SERVICIOS DE PESQUERIAS MARITIMAS Y DE AGUA DULCE POR CONTRATO","enpagos_actividad_economica",NULL,NULL
"CAZA","CAZA","enpagos_actividad_economica",NULL,NULL
"CAPTURA Y PRESERVACION DE ESPECIES ANIMALES SALVAJES","CAPTURA Y PRESERVACION DE ESPECIES ANIMALES SALVAJES","enpagos_actividad_economica",NULL,NULL
"EXTRACCIÓN Y BENEFICIO DE CARBÓN MINERAL Y GRAFITO","EXTRACCIÓN Y BENEFICIO DE CARBÓN MINERAL Y GRAFITO","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE CARBON MINERAL Y GRAFITO","EXTRACCION Y BENEFICIO DE CARBON MINERAL Y GRAFITO","enpagos_actividad_economica",NULL,NULL
"CULTIVO DE OTRAS HORTALIZAS","CULTIVO DE OTRAS HORTALIZAS","enpagos_actividad_economica",NULL,NULL
"EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL","EXTRACCIÓN DE PETRÓLEO CRUDO Y GAS NATURAL","enpagos_actividad_economica",NULL,NULL
"EXPLORACION DE PETROLEO POR COMPAÑIAS","EXPLORACION DE PETROLEO POR COMPAÑIAS","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL","EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL","enpagos_actividad_economica",NULL,NULL
"USUARIOS MENORES PETROLEO","USUARIOS MENORES PETROLEO","enpagos_actividad_economica",NULL,NULL
"CARTERA PETROLERA DE ESTADOS ANALITICOS","CARTERA PETROLERA DE ESTADOS ANALITICOS","enpagos_actividad_economica",NULL,NULL
"PIDIREGAS PETROLEO","PIDIREGAS PETROLEO","enpagos_actividad_economica",NULL,NULL
"EXTRACCIÓN Y BENEFICIO DE MINERALES METÁLICOS","EXTRACCIÓN Y BENEFICIO DE MINERALES METÁLICOS","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE MINERAL DE HIERRO","EXTRACCION Y BENEFICIO DE MINERAL DE HIERRO","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE ORO PLATA Y OTROS METALES PRECIOSOS","EXTRACCION Y BENEFICIO DE ORO PLATA Y OTROS METALES PRECIOSOS","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE MERCURIO Y ANTIMONIO","EXTRACCION Y BENEFICIO DE MERCURIO Y ANTIMONIO","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE COBRE  PLOMO  ZINC Y OTROS MINERALES NO FERROSOS","EXTRACCION Y BENEFICIO DE COBRE  PLOMO  ZINC Y OTROS MINERALES NO FERROSOS","enpagos_actividad_economica",NULL,NULL
"USUARIOS MENORES MINERIA","USUARIOS MENORES MINERIA","enpagos_actividad_economica",NULL,NULL
"CARTERA MINERA DE ESTADOS ANALITICOS","CARTERA MINERA DE ESTADOS ANALITICOS","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE ORO, PLATA Y OTROS METALES PRECIOSOS","EXTRACCION DE ORO, PLATA Y OTROS METALES PRECIOSOS","enpagos_actividad_economica",NULL,NULL
"EXTRACCIÓN DE MINERALES NO METÁLICOS, EXCEPTO SAL","EXTRACCIÓN DE MINERALES NO METÁLICOS, EXCEPTO SAL","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE PIEDRA","EXTRACCION Y BENEFICIO DE PIEDRA","enpagos_actividad_economica",NULL,NULL
"EXTRACCION DE YESO","EXTRACCION DE YESO","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE ARENA Y GRAVA","EXTRACCION Y BENEFICIO DE ARENA Y GRAVA","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE OTROS MATERIALES PARA CONSTRUCCION","EXTRACCION Y BENEFICIO DE OTROS MATERIALES PARA CONSTRUCCION","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE ARCILLAS REFRACTARIAS","EXTRACCION Y BENEFICIO DE ARCILLAS REFRACTARIAS","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE BARITA Y ROCA FOSFORICA","EXTRACCION Y BENEFICIO DE BARITA Y ROCA FOSFORICA","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE FLUORITA","EXTRACCION Y BENEFICIO DE FLUORITA","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE SILICE","EXTRACCION Y BENEFICIO DE SILICE","enpagos_actividad_economica",NULL,NULL
"EXTRACCION Y BENEFICIO DE OTROS MINERALES NO METALICOS EXCEPTO SAL","EXTRACCION Y BENEFICIO DE OTROS MINERALES NO METALICOS EXCEPTO SAL","enpagos_actividad_economica",NULL,NULL
"EXPLOTACIÓN DE SAL","EXPLOTACIÓN DE SAL","enpagos_actividad_economica",NULL,NULL
"EXPLOTACION DE SAL MARINA Y DE YACIMIENTOS","EXPLOTACION DE SAL MARINA Y DE YACIMIENTOS","enpagos_actividad_economica",NULL,NULL
"FABRICACIÓN DE ALIMENTOS","FABRICACIÓN DE ALIMENTOS","enpagos_actividad_economica",NULL,NULL
"DESHIDRATACION DE FRUTAS","DESHIDRATACION DE FRUTAS","enpagos_actividad_economica",NULL,NULL
"EMPACADORA DE CONSERVAS ALIMENTICIAS","EMPACADORA DE CONSERVAS ALIMENTICIAS","enpagos_actividad_economica",NULL,NULL
