"name","value","taxonomy","code1","code2"
"Aguascalientes","Aguascalientes","enpagos_municupio",NULL,NULL
"Asientos","Asientos","enpagos_municupio",NULL,NULL
"Calvillo","Calvillo","enpagos_municupio",NULL,NULL
"Cosío","Cosío","enpagos_municupio",NULL,NULL
"Jesús María","Jesús María","enpagos_municupio",NULL,NULL
"Pabellón de Arteaga","Pabellón de Arteaga","enpagos_municupio",NULL,NULL
"Rincón de Romos","Rincón de Romos","enpagos_municupio",NULL,NULL
"San José de Gracia","San José de Gracia","enpagos_municupio",NULL,NULL
"Tepezalá","Tepezalá","enpagos_municupio",NULL,NULL
"El Llano","El Llano","enpagos_municupio",NULL,NULL
"San Francisco de los Romo","San Francisco de los Romo","enpagos_municupio",NULL,NULL
"Ensenada","Ensenada","enpagos_municupio",NULL,NULL
"Mexicali","Mexicali","enpagos_municupio",NULL,NULL
"Tecate","Tecate","enpagos_municupio",NULL,NULL
"Tijuana","Tijuana","enpagos_municupio",NULL,NULL
"Playas de Rosarito","Playas de Rosarito","enpagos_municupio",NULL,NULL
"Comondu","Comondu","enpagos_municupio",NULL,NULL
"Mulege","Mulege","enpagos_municupio",NULL,NULL
"La Paz","La Paz","enpagos_municupio",NULL,NULL
"Los Cabos","Los Cabos","enpagos_municupio",NULL,NULL
"Loreto","Loreto","enpagos_municupio",NULL,NULL
"Calkini","Calkini","enpagos_municupio",NULL,NULL
"Campeche","Campeche","enpagos_municupio",NULL,NULL
"Carmen","Carmen","enpagos_municupio",NULL,NULL
"Champoton","Champoton","enpagos_municupio",NULL,NULL
"Hecelchakan","Hecelchakan","enpagos_municupio",NULL,NULL
"Hopelchen","Hopelchen","enpagos_municupio",NULL,NULL
"Palizada","Palizada","enpagos_municupio",NULL,NULL
"Tenabo","Tenabo","enpagos_municupio",NULL,NULL
"Escarcega","Escarcega","enpagos_municupio",NULL,NULL
"Calakmul","Calakmul","enpagos_municupio",NULL,NULL
"Candelaria","Candelaria","enpagos_municupio",NULL,NULL
"Abasolo","Abasolo","enpagos_municupio",NULL,NULL
"Acuna","Acuna","enpagos_municupio",NULL,NULL
"Allende","Allende","enpagos_municupio",NULL,NULL
"Arteaga","Arteaga","enpagos_municupio",NULL,NULL
"Candela","Candela","enpagos_municupio",NULL,NULL
"Castanos","Castanos","enpagos_municupio",NULL,NULL
"Cuatro Cienegas","Cuatro Cienegas","enpagos_municupio",NULL,NULL
"Escobedo","Escobedo","enpagos_municupio",NULL,NULL
"Francisco I Madero","Francisco I Madero","enpagos_municupio",NULL,NULL
"Frontera","Frontera","enpagos_municupio",NULL,NULL
"General Cepeda","General Cepeda","enpagos_municupio",NULL,NULL
"Guerrero","Guerrero","enpagos_municupio",NULL,NULL
"Hidalgo","Hidalgo","enpagos_municupio",NULL,NULL
