"name","value","taxonomy","code1","code2"
"Guyana","Guyana","enpagos_pais",NULL,NULL
"Haití","Haiti","enpagos_pais",NULL,NULL
"Indonesia","Indonesia","enpagos_pais",NULL,NULL
"Irak","Irak","enpagos_pais",NULL,NULL
"Irán","Iran","enpagos_pais",NULL,NULL
"Irlanda","Irlanda","enpagos_pais",NULL,NULL
"Afganistán","Afganistan","enpagos_pais",NULL,NULL
"Albania","Albania","enpagos_pais",NULL,NULL
"Alemania","Alemania","enpagos_pais",NULL,NULL
"Andorra","Andorra","enpagos_pais",NULL,NULL
"Angola","Angola","enpagos_pais",NULL,NULL
"Antigua y Barbuda","Antigua y Barbuda","enpagos_pais",NULL,NULL
"Arabia Saudita","Arabia Saudita","enpagos_pais",NULL,NULL
"Argelia","Argelia","enpagos_pais",NULL,NULL
"Argentina","Argentina","enpagos_pais",NULL,NULL
"Armenia","Armenia","enpagos_pais",NULL,NULL
"Australia","Australia","enpagos_pais",NULL,NULL
"Austria","Austria","enpagos_pais",NULL,NULL
"Azerbaiyán","Azerbaiyan","enpagos_pais",NULL,NULL
"Bahamas","Bahamas","enpagos_pais",NULL,NULL
"Bangladés","Banglades","enpagos_pais",NULL,NULL
"Barbados","Barbados","enpagos_pais",NULL,NULL
"Baréin","Barein","enpagos_pais",NULL,NULL
"Bélgica","Belgica","enpagos_pais",NULL,NULL
"Belice","Belice","enpagos_pais",NULL,NULL
"Benín","Benin","enpagos_pais",NULL,NULL
"Bielorrusia","Bielorrusia","enpagos_pais",NULL,NULL
"Birmania","Birmania","enpagos_pais",NULL,NULL
"Bolivia","Bolivia","enpagos_pais",NULL,NULL
"Bosnia-Herzegovina","Bosnia-Herzegovina","enpagos_pais",NULL,NULL
"Botsuana","Botsuana","enpagos_pais",NULL,NULL
"Brasil","Brasil","enpagos_pais",NULL,NULL
"Brunéi","Brunei","enpagos_pais",NULL,NULL
"Bulgaria","Bulgaria","enpagos_pais",NULL,NULL
"Burkina Faso","Burkina Faso","enpagos_pais",NULL,NULL
"Burundi","Burundi","enpagos_pais",NULL,NULL
"Bután","Butan","enpagos_pais",NULL,NULL
"Cabo Verde","Cabo Verde","enpagos_pais",NULL,NULL
"Camboya","Camboya","enpagos_pais",NULL,NULL
"Camerún","Camerun","enpagos_pais",NULL,NULL
