"name","value","taxonomy","code1","code2"
"SERVICIOS VETERINARIOS","742","giros_pagaqui",NULL,NULL
"COOPERATIVAS AGRICOLAS","763","giros_pagaqui",NULL,NULL
"SERVICIOS DE HORTICULTURA Y DE JARDINERIA","780","giros_pagaqui",NULL,NULL
"CONTRATISTAS EN GENERAL- RESIDENCIAL Y COMERCIAL","1520","giros_pagaqui",NULL,NULL
"CONTRATISTAS ,CALEFACCION VENTAS SERVICIO E INSTAL","1711","giros_pagaqui",NULL,NULL
"CONTRATISTAS ELECTRICISTAS","1731","giros_pagaqui",NULL,NULL
"CONTRATISTAS ,YESO ,CANTERA Y MAMPOSTERIA ,TEJAS","1740","giros_pagaqui",NULL,NULL
"CONTRATISTAS CARPINTERIA","1750","giros_pagaqui",NULL,NULL
"CONTRATISTAS TECHOS ESTRUCTURAS Y LAMINAS","1761","giros_pagaqui",NULL,NULL
"CONTRATISTAS CONSTRUCTORAS","1771","giros_pagaqui",NULL,NULL
"CONTRATISTAS ,DEMOLICIONES ,PERFORACION ,CRISTAL","1799","giros_pagaqui",NULL,NULL
"PUBLICACIONES E IMPRESIONES EN GENERAL","2741","giros_pagaqui",NULL,NULL
"LIMPIEZA ESPECIALIZADA PULIDOS Y SERVICIOS SANITAR","2842","giros_pagaqui",NULL,NULL
"RENTA DE AUTOS","3351","giros_pagaqui",NULL,NULL
"TRANSBORDADORES ,TRANSPORTE LOCAL Y TRANSPORTE URBANO","4111","giros_pagaqui",NULL,NULL
"SERVICIOS DE AMBULANCIA","4119","giros_pagaqui",NULL,NULL
"LIMOSINAS ,TAXIS","4121","giros_pagaqui",NULL,NULL
"AUTOBUSES FORANEOS","4131","giros_pagaqui",NULL,NULL
"COMPA?IAS DE MUDANZAS Y ALMACENAJE  ,FLETES MAQUIN","4214","giros_pagaqui",NULL,NULL
"TRASLADOS FLETES ,SERVICIOS DE MENSAJERIA","4215","giros_pagaqui",NULL,NULL
"ALMACENES DEPOSITOS ,BODEGAS","4225","giros_pagaqui",NULL,NULL
"LINEAS  DE CRUCEROS ,BARCOS DE VAPOR","4411","giros_pagaqui",NULL,NULL
"RENTA/ARRENDAMIENTO YATES Y LANCHAS","4457","giros_pagaqui",NULL,NULL
"SERVICIO/ACCESORIOS MARITIMOS","4468","giros_pagaqui",NULL,NULL
"OTRAS LINEAS AEREAS -FLETES AEREOS- NO CLASIFICADA","4511","giros_pagaqui",NULL,NULL
"AGENCIAS DE VIAJES OPERADORAS DE VIAJES","4722","giros_pagaqui",NULL,NULL
"SERVICIOS DE TRANSPORTE -NO CLASIFICADO","4789","giros_pagaqui",NULL,NULL
"EQUIPOS DE TELECOMUNICACION INCLUYENDO VENTA DE TE","4812","giros_pagaqui",NULL,NULL
"SERVICIOS DE TELECOMUNICACION INCLUYENDO LLAMADAS","4814","giros_pagaqui",NULL,NULL
"COMERCIOS ELECTRONICOS ,VENTAS A TRAVES DE INTERNE","4816","giros_pagaqui",NULL,NULL
"PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO","4899","giros_pagaqui",NULL,NULL
"SERVICIOS GUBERNAMENTALES AGUA ELECTRICIDAD SANITA","4900","giros_pagaqui",NULL,NULL
"VEHICULOS DE MOTOR ACCESORIOS Y AUTO PARTES","5013","giros_pagaqui",NULL,NULL
"MUEBLES PARA OFICINA Y COMERCIOS","5021","giros_pagaqui",NULL,NULL
"MATERIALES PARA LA CONSTRUCCION NO CLASIFICADOS","5039","giros_pagaqui",NULL,NULL
"EQUIPOS DE OFICINA FOTOGRAFICO FOTOCOPIADO Y MICRO","5044","giros_pagaqui",NULL,NULL
"COMPUTADORAS EQUIPO PERIFERICO DE COMPUTADORAS SOF","5045","giros_pagaqui",NULL,NULL
"EQUIPO COMERCIAL NO CLASIFICADO","5046","giros_pagaqui",NULL,NULL
"EQUIPO Y SUMINISTROS HOSPITALES,,EQUIPO Y SUMINIST","5047","giros_pagaqui",NULL,NULL
"CENTROS DE SERVICIO PARA EQUIPOS DE OFICINA","5051","giros_pagaqui",NULL,NULL
"PARTES Y EQUIPO ELECTRICO","5065","giros_pagaqui",NULL,NULL
"FERRETERIAS ACCESORIOS Y EQUIPO","5072","giros_pagaqui",NULL,NULL
"EQUIPO PLOMERIA Y CALEFACCION","5074","giros_pagaqui",NULL,NULL
"ACCESORIOS INDUSTRIALES NO CLASIFICADOS","5085","giros_pagaqui",NULL,NULL
"METALES Y PIEDRAS PRECIOSAS RELOJERIA Y JOYERIA","5094","giros_pagaqui",NULL,NULL
"BIENES DURADEROS NO CLASIFICADOS","5099","giros_pagaqui",NULL,NULL
"ARTICULOS DE ESCRITORIO OFICINA Y PAPELERIA","5111","giros_pagaqui",NULL,NULL
"MEDICINAS MEDICINAS DE PATENTE FARMACOS DIVERSOS","5122","giros_pagaqui",NULL,NULL
"MERCERIAS","5131","giros_pagaqui",NULL,NULL
"UNIFORMES HOMBRES / MUJERES / NI�OS","5137","giros_pagaqui",NULL,NULL
"CALZADO","5139","giros_pagaqui",NULL,NULL
"PRODUCTOS QUIMICOS Y ALIACIONES NO CLASIFICADOS","5169","giros_pagaqui",NULL,NULL
"PETROLEO Y PRODUCTOS DERIVADOS","5172","giros_pagaqui",NULL,NULL
"LIBROS PERIODICOS Y REVISTAS","5192","giros_pagaqui",NULL,NULL
"ACCESORIOS PARA FLORERIAS FLORES E INVERNADEROS","5193","giros_pagaqui",NULL,NULL
"DISTRIBUIDOR DE PINTURAS Y BARNICES","5198","giros_pagaqui",NULL,NULL
"PERECEDEROS  NO CLASIFICADOS","5199","giros_pagaqui",NULL,NULL
"ALMACEN DE ELECTRODOMESTICOS","5200","giros_pagaqui",NULL,NULL
"CIMBRAS / MADERERIAS ,MATERIALES PARA CONSTRUCCION","5211","giros_pagaqui",NULL,NULL
"PAPEL TAPIZ ,PINTURAS Y PAPEL TAPIZ ,VIDRIERIAS","5231","giros_pagaqui",NULL,NULL
"FERRETERIA","5251","giros_pagaqui",NULL,NULL
"ACCESORIOS JARDIN ,ACCESORIOS JARDININERIA,","5261","giros_pagaqui",NULL,NULL
"DISTRIBUIDORES CAMPERS Y REMOLQUES","5271","giros_pagaqui",NULL,NULL
"TIENDAS DE PARTICIPACION ESTATAL","5331","giros_pagaqui",NULL,NULL
"ABARROTES EN GENERAL, SUPERMERCADOS","5411","giros_pagaqui",NULL,NULL
"ABARROTES MISCE NATURISTAS CARNICERIAS, PESCADERIAS, VERDULERIAS","5422","giros_pagaqui",NULL,NULL
"DULCERIAS, PASTELERIAS Y CONFITERIAS, SEMILLAS","5441","giros_pagaqui",NULL,NULL
"LECHERIAS CREMERIAS LACTEOS","5451","giros_pagaqui",NULL,NULL
"PANADERIAS","5462","giros_pagaqui",NULL,NULL
"DISTRIBUIDORES DE AUTOMOVILES NUEVOS","5511","giros_pagaqui",NULL,NULL
"DISTRIBUIDORES DE AUTOMOVILES  USADOS","5521","giros_pagaqui",NULL,NULL
"LLANTAS AUTOMOTORES DISTRIBUIDOR DE LLANTAS AUTOMO","5532","giros_pagaqui",NULL,NULL
"AUTOPARTES ACCESORIOS AUTOMOTORES","5533","giros_pagaqui",NULL,NULL
"ESTACIONES DE SERVICIO GASOLINERIAS ESTACIONES DE","5541","giros_pagaqui",NULL,NULL
"DISPENSADOR AUTOMATICO DE GASOLINA","5542","giros_pagaqui",NULL,NULL
"DISTRIBUIDORES DE YATES BARCOS LANCHAS","5551","giros_pagaqui",NULL,NULL
"DISTRIBUIDORES Y AGENCIAS MOTOCICLETAS","5571","giros_pagaqui",NULL,NULL
"DISTRIBUIDORES DE AUTOMOTORES EN GENERAL AVIONES","5599","giros_pagaqui",NULL,NULL
"BOUTIQUE ROPA PARA NI�OS,,ROPA CABALLEROS Y NI�OS","5611","giros_pagaqui",NULL,NULL
",ROPA CASUAL DAMAS ,BOUTIQUES ROPA CASUAL DAMAS","5621","giros_pagaqui",NULL,NULL
",BOUTIQUE ROPA ESPECIAL ,BOUTIQUES LENCERIAS","5631","giros_pagaqui",NULL,NULL
"BOUTIQUES ROPA NI?OS Y BEBES ,ROPA NI?OS Y BEBES","5641","giros_pagaqui",NULL,NULL
"BOUTIQUES ROPA PARA TODA LA FAMILIA ,ROPA PARA TOD","5651","giros_pagaqui",NULL,NULL
"ROPA EQUITACION ,ROPA DEPORTIVA ,ROPA PARA DEPORT","5655","giros_pagaqui",NULL,NULL
"ZAPATERIAS","5661","giros_pagaqui",NULL,NULL
"PIELES FINAS","5681","giros_pagaqui",NULL,NULL
"ROPA PARA CABALLEROS Y DAMAS  ,BOUTIQUES ROPA PARA","5691","giros_pagaqui",NULL,NULL
"ALTA COSTURA CABALLEROS Y DAMAS,,ALTA COSTURA DAMA","5697","giros_pagaqui",NULL,NULL
"PELUCAS Y BISO?ES","5698","giros_pagaqui",NULL,NULL
"ROPA Y ACCESORIOS MISCELANEOS ,ROPA MISCELANEO","5699","giros_pagaqui",NULL,NULL
"MOBILIARIO ESPECIAL PARA EL HOGAR MISCELANEO","5712","giros_pagaqui",NULL,NULL
"ALFOMBRAS Y TAPETES","5713","giros_pagaqui",NULL,NULL
"CORTINAS CORTINEROS  Y TAPICERIAS","5714","giros_pagaqui",NULL,NULL
"ACCESORIOS PARA CHIMENEAS CHIMENEAS","5718","giros_pagaqui",NULL,NULL
"EQUIPAMIENTO PARA EL HOGAR NO ELECTRODOMESTICOS","5719","giros_pagaqui",NULL,NULL
"ACCESORIOS ELECTRODOMESTICOS","5722","giros_pagaqui",NULL,NULL
"TIENDAS DE ELECTRONICA","5732","giros_pagaqui",NULL,NULL
"TIENDAS DE MUSICA INSTRUMENTOS MUSICALES PIANOS PA","5733","giros_pagaqui",NULL,NULL
"TIENDAS DE SOFTWARE PARA COMPUTADORAS","5734","giros_pagaqui",NULL,NULL
"TIENDA DE DISCOS","5735","giros_pagaqui",NULL,NULL
"ALIMENTOS PROVEEDORES Y DISTRIBUIDORES","5811","giros_pagaqui",NULL,NULL
"RESTAURANTES, CAFETERIAS Y BEBIDAS","5812","giros_pagaqui",NULL,NULL
"BARES BEBIDAS ALCOHOLICAS ,TABERNAS ,DISCOTECAS","5813","giros_pagaqui",NULL,NULL
"COMERCIO QUE VENDE COMIDA PREPARADA PARA CONSUMO","5814","giros_pagaqui",NULL,NULL
"DROGUERIAS Y FARMACIAS","5912","giros_pagaqui",NULL,NULL
"DEPOSITOS DE CERVEZAS Y VINATERIAS","5921","giros_pagaqui",NULL,NULL
",TIENDAS DE ARTICULOS USADOS  ,TIENDAS DE ARTICUL","5931","giros_pagaqui",NULL,NULL
"TIENDAS DE ANTIGsEDADES BAZARES VENTA REPARACION R","5932","giros_pagaqui",NULL,NULL
"CASAS DE EMPE?O","5933","giros_pagaqui",NULL,NULL
"VENTAS DE SALDOS","5935","giros_pagaqui",NULL,NULL
"BICICLETAS VENTA Y REPARACION","5940","giros_pagaqui",NULL,NULL
"DEPORTES Y ACCESORIOS","5941","giros_pagaqui",NULL,NULL
"LIBRERIAS","5942","giros_pagaqui",NULL,NULL
"ARTICULOS DE ESCRITORIO ,ARTICULOS DE OFICINA ,AR","5943","giros_pagaqui",NULL,NULL
"RELOJERIAS ,JOYERIAS ,PLATERIAS","5944","giros_pagaqui",NULL,NULL
"JUEGOS DE MESA Y PASATIEMPOS ,JUGUETERIAS JUGOS DE","5945","giros_pagaqui",NULL,NULL
"ARTICULOS Y ACCESORIOS FOTOGRAFICOS","5946","giros_pagaqui",NULL,NULL
"TIENDAS DE REGALOS ,REGALOS Y ARTESANIAS ,TARJETA","5947","giros_pagaqui",NULL,NULL
"ARTICULO DE PIEL ,MALETAS Y EQUIPAJES","5948","giros_pagaqui",NULL,NULL
"TELAS Y CASIMIRES, MERCERIAS, BONETERIAS, CORCETERIAS","5949","giros_pagaqui",NULL,NULL
