"name","value","taxonomy","code1","code2"
"﻿01 - Aguascalientes","1","localidad_mulaware","00101027","01"
"01 - Ensenada","2","localidad_mulaware","41300604","01"
"01 - Ciudad Constitución","3","localidad_mulaware","04145109","01"
"01 - San Francisco de Campeche","4","localidad_mulaware","00957009","01"
"01 - Ciudad Acuña","5","localidad_mulaware","04135004","01"
"01 - Colima","6","localidad_mulaware","04302057","01"
"01 - Santa Rosalía de Camargo","7","localidad_mulaware","03342745","01"
"01 - Comitán de Domínguez","8","localidad_mulaware","20700107","01"
"01 - Ciudad de México","9","localidad_mulaware","04145109","01"
"01 - Victoria de Durango","10","localidad_mulaware","04605351","01"
"01 - Acapulco de Juárez","11","localidad_mulaware","02201007","01"
"01 - Acámbaro","12","localidad_mulaware","00702009","01"
"01 - Actopan","13","localidad_mulaware","03005003","01"
"01 - Ameca","14","localidad_mulaware","03303009","01"
"01 - Ciudad Adolfo López Mateos","15","localidad_mulaware","04135004","01"
"01 - Apatzingán de la Constitución","16","localidad_mulaware","01210001","01"
"01 - Cuautla (Cuautla de Morelos)","17","localidad_mulaware","01725006","01"
"01 - Santiago Ixcuintla","18","localidad_mulaware","02867007","01"
"01 - Ciudad Apodaca","19","localidad_mulaware","04145109","01"
"01 - Juchitán (Juchitán de Zaragoza)","20","localidad_mulaware","04195001","01"
"01 - Atlixco","21","localidad_mulaware","03080051","01"
"01 - Querétaro","22","localidad_mulaware","01972001","01"
"01 - Cancún","23","localidad_mulaware","70100302","01"
"01 - Los Mochis","24","localidad_mulaware","10204901","01"
"01 - Ciudad Valles","25","localidad_mulaware","03045055","01"
"01 - San Luis Río Colorado","26","localidad_mulaware","03528009","01"
"01 - Cárdenas","27","localidad_mulaware","03720009","01"
"01 - Altamira","28","localidad_mulaware","01305009","01"
"01 - Apizaco","29","localidad_mulaware","04005009","01"
"01 - Acayucan","30","localidad_mulaware","03011057","01"
"01 - Mérida","31","localidad_mulaware","00945009","01"
"01 - Fresnillo","32","localidad_mulaware","63800109","01"
