"name","value","taxonomy","code1","code2"
"NA","NA","municipios",NULL,NULL
"Aguascalientes","01_001","municipios",NULL,NULL
"Asientos","01_002","municipios",NULL,NULL
"Calvillo","01_003","municipios",NULL,NULL
"Cosío","01_004","municipios",NULL,NULL
"Jesús María","01_005","municipios",NULL,NULL
"Pabellón de Arteaga","01_006","municipios",NULL,NULL
"Rincón de Romos","01_007","municipios",NULL,NULL
"San José de Gracia","01_008","municipios",NULL,NULL
"Tepezalá","01_009","municipios",NULL,NULL
"El Llano","01_010","municipios",NULL,NULL
"San Francisco de los Romo","01_011","municipios",NULL,NULL
"Ensenada","02_001","municipios",NULL,NULL
"Mexicali","02_002","municipios",NULL,NULL
"Tecate","02_003","municipios",NULL,NULL
"Tijuana","02_004","municipios",NULL,NULL
"Playas de Rosarito","02_005","municipios",NULL,NULL
"Comondú","03_001","municipios",NULL,NULL
"Mulegé","03_002","municipios",NULL,NULL
"La Paz","03_003","municipios",NULL,NULL
"Los Cabos","03_008","municipios",NULL,NULL
"Loreto","03_009","municipios",NULL,NULL
"Calkiní","04_001","municipios",NULL,NULL
"Campeche","04_002","municipios",NULL,NULL
"Carmen","04_003","municipios",NULL,NULL
"Champotón","04_004","municipios",NULL,NULL
"Hecelchakán","04_005","municipios",NULL,NULL
"Hopelchén","04_006","municipios",NULL,NULL
"Palizada","04_007","municipios",NULL,NULL
"Tenabo","04_008","municipios",NULL,NULL
"Escárcega","04_009","municipios",NULL,NULL
"Calakmul","04_010","municipios",NULL,NULL
"Candelaria","04_011","municipios",NULL,NULL
"Abasolo","05_001","municipios",NULL,NULL
"Acuña","05_002","municipios",NULL,NULL
"Allende","05_003","municipios",NULL,NULL
"Arteaga","05_004","municipios",NULL,NULL
"Candela","05_005","municipios",NULL,NULL
"Castaños","05_006","municipios",NULL,NULL
"Cuatro Ciénegas","05_007","municipios",NULL,NULL
"Escobedo","05_008","municipios",NULL,NULL
"Francisco I. Madero","05_009","municipios",NULL,NULL
"Frontera","05_010","municipios",NULL,NULL
"General Cepeda","05_011","municipios",NULL,NULL
"Guerrero","05_012","municipios",NULL,NULL
"Hidalgo","05_013","municipios",NULL,NULL
"Jiménez","05_014","municipios",NULL,NULL
"Juárez","05_015","municipios",NULL,NULL
"Lamadrid","05_016","municipios",NULL,NULL
"Matamoros","05_017","municipios",NULL,NULL
"Monclova","05_018","municipios",NULL,NULL
"Morelos","05_019","municipios",NULL,NULL
"Múzquiz","05_020","municipios",NULL,NULL
"Nadadores","05_021","municipios",NULL,NULL
"Nava","05_022","municipios",NULL,NULL
"Ocampo","05_023","municipios",NULL,NULL
"Parras","05_024","municipios",NULL,NULL
"Piedras Negras","05_025","municipios",NULL,NULL
"Progreso","05_026","municipios",NULL,NULL
"Ramos Arizpe","05_027","municipios",NULL,NULL
"Sabinas","05_028","municipios",NULL,NULL
"Sacramento","05_029","municipios",NULL,NULL
"Saltillo","05_030","municipios",NULL,NULL
"San Buenaventura","05_031","municipios",NULL,NULL
"San Juan de Sabinas","05_032","municipios",NULL,NULL
"San Pedro","05_033","municipios",NULL,NULL
"Sierra Mojada","05_034","municipios",NULL,NULL
"Torreón","05_035","municipios",NULL,NULL
"Viesca","05_036","municipios",NULL,NULL
"Villa Unión","05_037","municipios",NULL,NULL
"Zaragoza","05_038","municipios",NULL,NULL
"Armería","06_001","municipios",NULL,NULL
"Colima","06_002","municipios",NULL,NULL
"Comala","06_003","municipios",NULL,NULL
"Coquimatlán","06_004","municipios",NULL,NULL
"Cuauhtémoc","06_005","municipios",NULL,NULL
"Ixtlahuacán","06_006","municipios",NULL,NULL
"Manzanillo","06_007","municipios",NULL,NULL
"Minatitlán","06_008","municipios",NULL,NULL
"Tecomán","06_009","municipios",NULL,NULL
"Villa de Álvarez","06_010","municipios",NULL,NULL
"Acacoyagua","07_001","municipios",NULL,NULL
"Acala","07_002","municipios",NULL,NULL
"Acapetahua","07_003","municipios",NULL,NULL
"Altamirano","07_004","municipios",NULL,NULL
"Amatán","07_005","municipios",NULL,NULL
"Amatenango de la Frontera","07_006","municipios",NULL,NULL
"Amatenango del Valle","07_007","municipios",NULL,NULL
"Angel Albino Corzo","07_008","municipios",NULL,NULL
"Arriaga","07_009","municipios",NULL,NULL
"Bejucal de Ocampo","07_010","municipios",NULL,NULL
"Bella Vista","07_011","municipios",NULL,NULL
"Berriozábal","07_012","municipios",NULL,NULL
"Bochil","07_013","municipios",NULL,NULL
"El Bosque","07_014","municipios",NULL,NULL
"Cacahoatán","07_015","municipios",NULL,NULL
"Catazajá","07_016","municipios",NULL,NULL
"Cintalapa","07_017","municipios",NULL,NULL
"Coapilla","07_018","municipios",NULL,NULL
"Comitán de Domínguez","07_019","municipios",NULL,NULL
"La Concordia","07_020","municipios",NULL,NULL
"Copainalá","07_021","municipios",NULL,NULL
"Chalchihuitán","07_022","municipios",NULL,NULL
"Chamula","07_023","municipios",NULL,NULL
"Chanal","07_024","municipios",NULL,NULL
"Chapultenango","07_025","municipios",NULL,NULL
"Chenalhó","07_026","municipios",NULL,NULL
"Chiapa de Corzo","07_027","municipios",NULL,NULL
"Chiapilla","07_028","municipios",NULL,NULL
"Chicoasén","07_029","municipios",NULL,NULL
"Chicomuselo","07_030","municipios",NULL,NULL
"Chilón","07_031","municipios",NULL,NULL
"Escuintla","07_032","municipios",NULL,NULL
"Francisco León","07_033","municipios",NULL,NULL
"Frontera Comalapa","07_034","municipios",NULL,NULL
"Frontera Hidalgo","07_035","municipios",NULL,NULL
"La Grandeza","07_036","municipios",NULL,NULL
"Huehuetán","07_037","municipios",NULL,NULL
"Huixtán","07_038","municipios",NULL,NULL
"Huitiupán","07_039","municipios",NULL,NULL
"Huixtla","07_040","municipios",NULL,NULL
"La Independencia","07_041","municipios",NULL,NULL
"Ixhuatán","07_042","municipios",NULL,NULL
"Ixtacomitán","07_043","municipios",NULL,NULL
"Ixtapa","07_044","municipios",NULL,NULL
"Ixtapangajoya","07_045","municipios",NULL,NULL
"Jiquipilas","07_046","municipios",NULL,NULL
"Jitotol","07_047","municipios",NULL,NULL
"Juárez","07_048","municipios",NULL,NULL
"Larráinzar","07_049","municipios",NULL,NULL
"La Libertad","07_050","municipios",NULL,NULL
"Mapastepec","07_051","municipios",NULL,NULL
"Las Margaritas","07_052","municipios",NULL,NULL
"Mazapa de Madero","07_053","municipios",NULL,NULL
"Mazatán","07_054","municipios",NULL,NULL
"Metapa","07_055","municipios",NULL,NULL
"Mitontic","07_056","municipios",NULL,NULL
"Motozintla","07_057","municipios",NULL,NULL
"Nicolás Ruíz","07_058","municipios",NULL,NULL
"Ocosingo","07_059","municipios",NULL,NULL
"Ocotepec","07_060","municipios",NULL,NULL
"Ocozocoautla de Espinosa","07_061","municipios",NULL,NULL
"Ostuacán","07_062","municipios",NULL,NULL
"Osumacinta","07_063","municipios",NULL,NULL
"Oxchuc","07_064","municipios",NULL,NULL
"Palenque","07_065","municipios",NULL,NULL
"Pantelhó","07_066","municipios",NULL,NULL
"Pantepec","07_067","municipios",NULL,NULL
"Pichucalco","07_068","municipios",NULL,NULL
"Pijijiapan","07_069","municipios",NULL,NULL
"El Porvenir","07_070","municipios",NULL,NULL
"Villa Comaltitlán","07_071","municipios",NULL,NULL
"Pueblo Nuevo Solistahuacán","07_072","municipios",NULL,NULL
"Rayón","07_073","municipios",NULL,NULL
"Reforma","07_074","municipios",NULL,NULL
"Las Rosas","07_075","municipios",NULL,NULL
"Sabanilla","07_076","municipios",NULL,NULL
"Salto de Agua","07_077","municipios",NULL,NULL
"San Cristóbal de las Casas","07_078","municipios",NULL,NULL
"San Fernando","07_079","municipios",NULL,NULL
"Siltepec","07_080","municipios",NULL,NULL
"Simojovel","07_081","municipios",NULL,NULL
"Sitalá","07_082","municipios",NULL,NULL
"Socoltenango","07_083","municipios",NULL,NULL
"Solosuchiapa","07_084","municipios",NULL,NULL
"Soyaló","07_085","municipios",NULL,NULL
"Suchiapa","07_086","municipios",NULL,NULL
"Suchiate","07_087","municipios",NULL,NULL
"Sunuapa","07_088","municipios",NULL,NULL
"Tapachula","07_089","municipios",NULL,NULL
"Tapalapa","07_090","municipios",NULL,NULL
"Tapilula","07_091","municipios",NULL,NULL
"Tecpatán","07_092","municipios",NULL,NULL
"Tenejapa","07_093","municipios",NULL,NULL
"Teopisca","07_094","municipios",NULL,NULL
"Tila","07_096","municipios",NULL,NULL
"Tonalá","07_097","municipios",NULL,NULL
"Totolapa","07_098","municipios",NULL,NULL
"La Trinitaria","07_099","municipios",NULL,NULL
"Tumbalá","07_100","municipios",NULL,NULL
"Tuxtla Gutiérrez","07_101","municipios",NULL,NULL
"Tuxtla Chico","07_102","municipios",NULL,NULL
"Tuzantán","07_103","municipios",NULL,NULL
"Tzimol","07_104","municipios",NULL,NULL
"Unión Juárez","07_105","municipios",NULL,NULL
"Venustiano Carranza","07_106","municipios",NULL,NULL
"Villa Corzo","07_107","municipios",NULL,NULL
"Villaflores","07_108","municipios",NULL,NULL
"Yajalón","07_109","municipios",NULL,NULL
"San Lucas","07_110","municipios",NULL,NULL
"Zinacantán","07_111","municipios",NULL,NULL
"San Juan Cancuc","07_112","municipios",NULL,NULL
"Aldama","07_113","municipios",NULL,NULL
"Benemérito de las Américas","07_114","municipios",NULL,NULL
"Maravilla Tenejapa","07_115","municipios",NULL,NULL
"Marqués de Comillas","07_116","municipios",NULL,NULL
"Montecristo de Guerrero","07_117","municipios",NULL,NULL
"San Andrés Duraznal","07_118","municipios",NULL,NULL
"Santiago el Pinar","07_119","municipios",NULL,NULL
"Capitán Luis Ángel Vidal","07_120","municipios",NULL,NULL
"Rincón Chamula San Pedro","07_121","municipios",NULL,NULL
"El Parral","07_122","municipios",NULL,NULL
"Emiliano Zapata","07_123","municipios",NULL,NULL
"Mezcalapa","07_124","municipios",NULL,NULL
"Ahumada","08_001","municipios",NULL,NULL
"Aldama","08_002","municipios",NULL,NULL
"Allende","08_003","municipios",NULL,NULL
"Aquiles Serdán","08_004","municipios",NULL,NULL
"Ascensión","08_005","municipios",NULL,NULL
"Bachíniva","08_006","municipios",NULL,NULL
"Balleza","08_007","municipios",NULL,NULL
"Batopilas de Manuel Gómez Morín","08_008","municipios",NULL,NULL
"Bocoyna","08_009","municipios",NULL,NULL
"Buenaventura","08_010","municipios",NULL,NULL
"Camargo","08_011","municipios",NULL,NULL
"Carichí","08_012","municipios",NULL,NULL
"Casas Grandes","08_013","municipios",NULL,NULL
"Coronado","08_014","municipios",NULL,NULL
"Coyame del Sotol","08_015","municipios",NULL,NULL
"La Cruz","08_016","municipios",NULL,NULL
"Cuauhtémoc","08_017","municipios",NULL,NULL
"Cusihuiriachi","08_018","municipios",NULL,NULL
"Chihuahua","08_019","municipios",NULL,NULL
"Chínipas","08_020","municipios",NULL,NULL
"Delicias","08_021","municipios",NULL,NULL
"Dr. Belisario Domínguez","08_022","municipios",NULL,NULL
"Galeana","08_023","municipios",NULL,NULL
"Santa Isabel","08_024","municipios",NULL,NULL
"Gómez Farías","08_025","municipios",NULL,NULL
"Gran Morelos","08_026","municipios",NULL,NULL
"Guachochi","08_027","municipios",NULL,NULL
"Guadalupe","08_028","municipios",NULL,NULL
"Guadalupe y Calvo","08_029","municipios",NULL,NULL
"Guazapares","08_030","municipios",NULL,NULL
"Guerrero","08_031","municipios",NULL,NULL
"Hidalgo del Parral","08_032","municipios",NULL,NULL
"Huejotitán","08_033","municipios",NULL,NULL
"Ignacio Zaragoza","08_034","municipios",NULL,NULL
"Janos","08_035","municipios",NULL,NULL
"Jiménez","08_036","municipios",NULL,NULL
"Juárez","08_037","municipios",NULL,NULL
"Julimes","08_038","municipios",NULL,NULL
"López","08_039","municipios",NULL,NULL
"Madera","08_040","municipios",NULL,NULL
"Maguarichi","08_041","municipios",NULL,NULL
"Manuel Benavides","08_042","municipios",NULL,NULL
"Matachí","08_043","municipios",NULL,NULL
"Matamoros","08_044","municipios",NULL,NULL
"Meoqui","08_045","municipios",NULL,NULL
"Morelos","08_046","municipios",NULL,NULL
"Moris","08_047","municipios",NULL,NULL
"Namiquipa","08_048","municipios",NULL,NULL
"Nonoava","08_049","municipios",NULL,NULL
"Nuevo Casas Grandes","08_050","municipios",NULL,NULL
"Ocampo","08_051","municipios",NULL,NULL
"Ojinaga","08_052","municipios",NULL,NULL
"Praxedis G. Guerrero","08_053","municipios",NULL,NULL
"Riva Palacio","08_054","municipios",NULL,NULL
"Rosales","08_055","municipios",NULL,NULL
"Rosario","08_056","municipios",NULL,NULL
"San Francisco de Borja","08_057","municipios",NULL,NULL
"San Francisco de Conchos","08_058","municipios",NULL,NULL
"San Francisco del Oro","08_059","municipios",NULL,NULL
"Santa Bárbara","08_060","municipios",NULL,NULL
"Satevó","08_061","municipios",NULL,NULL
"Saucillo","08_062","municipios",NULL,NULL
"Temósachic","08_063","municipios",NULL,NULL
"El Tule","08_064","municipios",NULL,NULL
"Urique","08_065","municipios",NULL,NULL
"Uruachi","08_066","municipios",NULL,NULL
"Valle de Zaragoza","08_067","municipios",NULL,NULL
"Azcapotzalco","09_002","municipios",NULL,NULL
"Coyoacán","09_003","municipios",NULL,NULL
"Cuajimalpa de Morelos","09_004","municipios",NULL,NULL
"Gustavo A. Madero","09_005","municipios",NULL,NULL
"Iztacalco","09_006","municipios",NULL,NULL
"Iztapalapa","09_007","municipios",NULL,NULL
"La Magdalena Contreras","09_008","municipios",NULL,NULL
"Milpa Alta","09_009","municipios",NULL,NULL
"Álvaro Obregón","09_010","municipios",NULL,NULL
"Tláhuac","09_011","municipios",NULL,NULL
"Tlalpan","09_012","municipios",NULL,NULL
"Xochimilco","09_013","municipios",NULL,NULL
"Benito Juárez","09_014","municipios",NULL,NULL
"Cuauhtémoc","09_015","municipios",NULL,NULL
"Miguel Hidalgo","09_016","municipios",NULL,NULL
"Venustiano Carranza","09_017","municipios",NULL,NULL
"Canatlán","10_001","municipios",NULL,NULL
"Canelas","10_002","municipios",NULL,NULL
"Coneto de Comonfort","10_003","municipios",NULL,NULL
"Cuencamé","10_004","municipios",NULL,NULL
"Durango","10_005","municipios",NULL,NULL
"General Simón Bolívar","10_006","municipios",NULL,NULL
"Gómez Palacio","10_007","municipios",NULL,NULL
"Guadalupe Victoria","10_008","municipios",NULL,NULL
"Guanaceví","10_009","municipios",NULL,NULL
"Hidalgo","10_010","municipios",NULL,NULL
"Indé","10_011","municipios",NULL,NULL
"Lerdo","10_012","municipios",NULL,NULL
"Mapimí","10_013","municipios",NULL,NULL
"Mezquital","10_014","municipios",NULL,NULL
"Nazas","10_015","municipios",NULL,NULL
"Nombre de Dios","10_016","municipios",NULL,NULL
"Ocampo","10_017","municipios",NULL,NULL
"El Oro","10_018","municipios",NULL,NULL
"Otáez","10_019","municipios",NULL,NULL
"Pánuco de Coronado","10_020","municipios",NULL,NULL
"Peñón Blanco","10_021","municipios",NULL,NULL
"Poanas","10_022","municipios",NULL,NULL
"Pueblo Nuevo","10_023","municipios",NULL,NULL
"Rodeo","10_024","municipios",NULL,NULL
"San Bernardo","10_025","municipios",NULL,NULL
"San Dimas","10_026","municipios",NULL,NULL
"San Juan de Guadalupe","10_027","municipios",NULL,NULL
"San Juan del Río","10_028","municipios",NULL,NULL
"San Luis del Cordero","10_029","municipios",NULL,NULL
"San Pedro del Gallo","10_030","municipios",NULL,NULL
"Santa Clara","10_031","municipios",NULL,NULL
"Santiago Papasquiaro","10_032","municipios",NULL,NULL
"Súchil","10_033","municipios",NULL,NULL
"Tamazula","10_034","municipios",NULL,NULL
"Tepehuanes","10_035","municipios",NULL,NULL
"Tlahualilo","10_036","municipios",NULL,NULL
"Topia","10_037","municipios",NULL,NULL
"Vicente Guerrero","10_038","municipios",NULL,NULL
"Nuevo Ideal","10_039","municipios",NULL,NULL
"Abasolo","11_001","municipios",NULL,NULL
"Acámbaro","11_002","municipios",NULL,NULL
"San Miguel de Allende","11_003","municipios",NULL,NULL
"Apaseo el Alto","11_004","municipios",NULL,NULL
"Apaseo el Grande","11_005","municipios",NULL,NULL
"Atarjea","11_006","municipios",NULL,NULL
"Celaya","11_007","municipios",NULL,NULL
"Manuel Doblado","11_008","municipios",NULL,NULL
"Comonfort","11_009","municipios",NULL,NULL
"Coroneo","11_010","municipios",NULL,NULL
"Cortazar","11_011","municipios",NULL,NULL
"Cuerámaro","11_012","municipios",NULL,NULL
"Doctor Mora","11_013","municipios",NULL,NULL
"Dolores Hidalgo Cuna de la Independencia Nacional","11_014","municipios",NULL,NULL
"Guanajuato","11_015","municipios",NULL,NULL
"Huanímaro","11_016","municipios",NULL,NULL
"Irapuato","11_017","municipios",NULL,NULL
"Jaral del Progreso","11_018","municipios",NULL,NULL
"Jerécuaro","11_019","municipios",NULL,NULL
"León","11_020","municipios",NULL,NULL
"Moroleón","11_021","municipios",NULL,NULL
"Ocampo","11_022","municipios",NULL,NULL
"Pénjamo","11_023","municipios",NULL,NULL
"Pueblo Nuevo","11_024","municipios",NULL,NULL
"Purísima del Rincón","11_025","municipios",NULL,NULL
"Romita","11_026","municipios",NULL,NULL
"Salamanca","11_027","municipios",NULL,NULL
"Salvatierra","11_028","municipios",NULL,NULL
"San Diego de la Unión","11_029","municipios",NULL,NULL
"San Felipe","11_030","municipios",NULL,NULL
"San Francisco del Rincón","11_031","municipios",NULL,NULL
"San José Iturbide","11_032","municipios",NULL,NULL
"San Luis de la Paz","11_033","municipios",NULL,NULL
"Santa Catarina","11_034","municipios",NULL,NULL
"Santa Cruz de Juventino Rosas","11_035","municipios",NULL,NULL
"Santiago Maravatío","11_036","municipios",NULL,NULL
"Silao de la Victoria","11_037","municipios",NULL,NULL
"Tarandacuao","11_038","municipios",NULL,NULL
"Tarimoro","11_039","municipios",NULL,NULL
"Tierra Blanca","11_040","municipios",NULL,NULL
"Uriangato","11_041","municipios",NULL,NULL
"Valle de Santiago","11_042","municipios",NULL,NULL
"Victoria","11_043","municipios",NULL,NULL
"Villagrán","11_044","municipios",NULL,NULL
"Xichú","11_045","municipios",NULL,NULL
"Yuriria","11_046","municipios",NULL,NULL
"Acapulco de Juárez","12_001","municipios",NULL,NULL
"Ahuacuotzingo","12_002","municipios",NULL,NULL
"Ajuchitlán del Progreso","12_003","municipios",NULL,NULL
"Alcozauca de Guerrero","12_004","municipios",NULL,NULL
"Alpoyeca","12_005","municipios",NULL,NULL
"Apaxtla","12_006","municipios",NULL,NULL
"Arcelia","12_007","municipios",NULL,NULL
"Atenango del Río","12_008","municipios",NULL,NULL
"Atlamajalcingo del Monte","12_009","municipios",NULL,NULL
"Atlixtac","12_010","municipios",NULL,NULL
"Atoyac de Álvarez","12_011","municipios",NULL,NULL
"Ayutla de los Libres","12_012","municipios",NULL,NULL
"Azoyú","12_013","municipios",NULL,NULL
"Benito Juárez","12_014","municipios",NULL,NULL
"Buenavista de Cuéllar","12_015","municipios",NULL,NULL
"Coahuayutla de José María Izazaga","12_016","municipios",NULL,NULL
"Cocula","12_017","municipios",NULL,NULL
"Copala","12_018","municipios",NULL,NULL
"Copalillo","12_019","municipios",NULL,NULL
"Copanatoyac","12_020","municipios",NULL,NULL
"Coyuca de Benítez","12_021","municipios",NULL,NULL
"Coyuca de Catalán","12_022","municipios",NULL,NULL
"Cuajinicuilapa","12_023","municipios",NULL,NULL
"Cualác","12_024","municipios",NULL,NULL
"Cuautepec","12_025","municipios",NULL,NULL
"Cuetzala del Progreso","12_026","municipios",NULL,NULL
"Cutzamala de Pinzón","12_027","municipios",NULL,NULL
"Chilapa de Álvarez","12_028","municipios",NULL,NULL
"Chilpancingo de los Bravo","12_029","municipios",NULL,NULL
"Florencio Villarreal","12_030","municipios",NULL,NULL
"General Canuto A. Neri","12_031","municipios",NULL,NULL
"General Heliodoro Castillo","12_032","municipios",NULL,NULL
"Huamuxtitlán","12_033","municipios",NULL,NULL
"Huitzuco de los Figueroa","12_034","municipios",NULL,NULL
"Iguala de la Independencia","12_035","municipios",NULL,NULL
"Igualapa","12_036","municipios",NULL,NULL
"Ixcateopan de Cuauhtémoc","12_037","municipios",NULL,NULL
"Zihuatanejo de Azueta","12_038","municipios",NULL,NULL
"Juan R. Escudero","12_039","municipios",NULL,NULL
"Leonardo Bravo","12_040","municipios",NULL,NULL
"Malinaltepec","12_041","municipios",NULL,NULL
"Mártir de Cuilapan","12_042","municipios",NULL,NULL
"Metlatónoc","12_043","municipios",NULL,NULL
"Mochitlán","12_044","municipios",NULL,NULL
"Olinalá","12_045","municipios",NULL,NULL
"Ometepec","12_046","municipios",NULL,NULL
"Pedro Ascencio Alquisiras","12_047","municipios",NULL,NULL
"Petatlán","12_048","municipios",NULL,NULL
"Pilcaya","12_049","municipios",NULL,NULL
"Pungarabato","12_050","municipios",NULL,NULL
"Quechultenango","12_051","municipios",NULL,NULL
"San Luis Acatlán","12_052","municipios",NULL,NULL
"San Marcos","12_053","municipios",NULL,NULL
"San Miguel Totolapan","12_054","municipios",NULL,NULL
"Taxco de Alarcón","12_055","municipios",NULL,NULL
"Tecoanapa","12_056","municipios",NULL,NULL
"Técpan de Galeana","12_057","municipios",NULL,NULL
"Teloloapan","12_058","municipios",NULL,NULL
"Tepecoacuilco de Trujano","12_059","municipios",NULL,NULL
"Tetipac","12_060","municipios",NULL,NULL
"Tixtla de Guerrero","12_061","municipios",NULL,NULL
"Tlacoachistlahuaca","12_062","municipios",NULL,NULL
"Tlacoapa","12_063","municipios",NULL,NULL
"Tlalchapa","12_064","municipios",NULL,NULL
"Tlalixtaquilla de Maldonado","12_065","municipios",NULL,NULL
"Tlapa de Comonfort","12_066","municipios",NULL,NULL
"Tlapehuala","12_067","municipios",NULL,NULL
"La Unión de Isidoro Montes de Oca","12_068","municipios",NULL,NULL
"Xalpatláhuac","12_069","municipios",NULL,NULL
"Xochihuehuetlán","12_070","municipios",NULL,NULL
"Xochistlahuaca","12_071","municipios",NULL,NULL
"Zapotitlán Tablas","12_072","municipios",NULL,NULL
"Zirándaro","12_073","municipios",NULL,NULL
"Zitlala","12_074","municipios",NULL,NULL
"Eduardo Neri","12_075","municipios",NULL,NULL
"Acatepec","12_076","municipios",NULL,NULL
"Marquelia","12_077","municipios",NULL,NULL
"Cochoapa el Grande","12_078","municipios",NULL,NULL
"José Joaquín de Herrera","12_079","municipios",NULL,NULL
"Juchitán","12_080","municipios",NULL,NULL
"Iliatenco","12_081","municipios",NULL,NULL
"Acatlán","13_001","municipios",NULL,NULL
"Acaxochitlán","13_002","municipios",NULL,NULL
"Actopan","13_003","municipios",NULL,NULL
"Agua Blanca de Iturbide","13_004","municipios",NULL,NULL
"Ajacuba","13_005","municipios",NULL,NULL
"Alfajayucan","13_006","municipios",NULL,NULL
"Almoloya","13_007","municipios",NULL,NULL
"Apan","13_008","municipios",NULL,NULL
"El Arenal","13_009","municipios",NULL,NULL
"Atitalaquia","13_010","municipios",NULL,NULL
"Atlapexco","13_011","municipios",NULL,NULL
"Atotonilco el Grande","13_012","municipios",NULL,NULL
"Atotonilco de Tula","13_013","municipios",NULL,NULL
"Calnali","13_014","municipios",NULL,NULL
"Cardonal","13_015","municipios",NULL,NULL
"Cuautepec de Hinojosa","13_016","municipios",NULL,NULL
"Chapantongo","13_017","municipios",NULL,NULL
"Chapulhuacán","13_018","municipios",NULL,NULL
"Chilcuautla","13_019","municipios",NULL,NULL
"Eloxochitlán","13_020","municipios",NULL,NULL
"Emiliano Zapata","13_021","municipios",NULL,NULL
"Epazoyucan","13_022","municipios",NULL,NULL
"Francisco I. Madero","13_023","municipios",NULL,NULL
"Huasca de Ocampo","13_024","municipios",NULL,NULL
"Huautla","13_025","municipios",NULL,NULL
"Huazalingo","13_026","municipios",NULL,NULL
"Huehuetla","13_027","municipios",NULL,NULL
"Huejutla de Reyes","13_028","municipios",NULL,NULL
"Huichapan","13_029","municipios",NULL,NULL
"Ixmiquilpan","13_030","municipios",NULL,NULL
"Jacala de Ledezma","13_031","municipios",NULL,NULL
"Jaltocán","13_032","municipios",NULL,NULL
"Juárez Hidalgo","13_033","municipios",NULL,NULL
"Lolotla","13_034","municipios",NULL,NULL
"Metepec","13_035","municipios",NULL,NULL
"San Agustín Metzquititlán","13_036","municipios",NULL,NULL
"Metztitlán","13_037","municipios",NULL,NULL
"Mineral del Chico","13_038","municipios",NULL,NULL
"Mineral del Monte","13_039","municipios",NULL,NULL
"La Misión","13_040","municipios",NULL,NULL
"Mixquiahuala de Juárez","13_041","municipios",NULL,NULL
"Molango de Escamilla","13_042","municipios",NULL,NULL
"Nicolás Flores","13_043","municipios",NULL,NULL
"Nopala de Villagrán","13_044","municipios",NULL,NULL
"Omitlán de Juárez","13_045","municipios",NULL,NULL
"San Felipe Orizatlán","13_046","municipios",NULL,NULL
"Pacula","13_047","municipios",NULL,NULL
"Pachuca de Soto","13_048","municipios",NULL,NULL
"Pisaflores","13_049","municipios",NULL,NULL
"Progreso de Obregón","13_050","municipios",NULL,NULL
"Mineral de la Reforma","13_051","municipios",NULL,NULL
"San Agustín Tlaxiaca","13_052","municipios",NULL,NULL
