"name","value","taxonomy","code1","code2"
"AFGANISTÁN (EL)","AFGANISTÁN (EL)","nacionalidad",NULL,NULL
"ALBANIA","ALBANIA","nacionalidad",NULL,NULL
"ALEMANIA","ALEMANIA","nacionalidad",NULL,NULL
"ANDORRA","ANDORRA","nacionalidad",NULL,NULL
"ANGOLA","ANGOLA","nacionalidad",NULL,NULL
"ANTIGUA Y BARBUDA","ANTIGUA Y BARBUDA","nacionalidad",NULL,NULL
"ARABIA SAUDITA (LA)","ARABIA SAUDITA (LA)","nacionalidad",NULL,NULL
"ARGELIA","ARGELIA","nacionalidad",NULL,NULL
"ARGENTINA (LA)","ARGENTINA (LA)","nacionalidad",NULL,NULL
"ARMENIA","ARMENIA","nacionalidad",NULL,NULL
"AUSTRALIA","AUSTRALIA","nacionalidad",NULL,NULL
"AUSTRIA","AUSTRIA","nacionalidad",NULL,NULL
"AZERBAIYÁN","AZERBAIYÁN","nacionalidad",NULL,NULL
"BAHAMAS (LAS)","BAHAMAS (LAS)","nacionalidad",NULL,NULL
"BAHREIN","BAHREIN","nacionalidad",NULL,NULL
"BANGLADESH","BANGLADESH","nacionalidad",NULL,NULL
"BARBADOS","BARBADOS","nacionalidad",NULL,NULL
"BELARÚS","BELARÚS","nacionalidad",NULL,NULL
"BÉLGICA","BÉLGICA","nacionalidad",NULL,NULL
"BELICE","BELICE","nacionalidad",NULL,NULL
"BENIN","BENIN","nacionalidad",NULL,NULL
"BHUTÁN","BHUTÁN","nacionalidad",NULL,NULL
"BOLIVIA (ESTADO PLURINACIONAL DE)","BOLIVIA (ESTADO PLURINACIONAL DE)","nacionalidad",NULL,NULL
"BOSNIA Y HERZEGOVINA","BOSNIA Y HERZEGOVINA","nacionalidad",NULL,NULL
"BOTSWANA","BOTSWANA","nacionalidad",NULL,NULL
"BRASIL (EL)","BRASIL (EL)","nacionalidad",NULL,NULL
"BRUNEI DARUSSALAM","BRUNEI DARUSSALAM","nacionalidad",NULL,NULL
"BULGARIA","BULGARIA","nacionalidad",NULL,NULL
"BURKINA FASO","BURKINA FASO","nacionalidad",NULL,NULL
"BURUNDI","BURUNDI","nacionalidad",NULL,NULL
"CABO VERDE","CABO VERDE","nacionalidad",NULL,NULL
"CAMBOYA","CAMBOYA","nacionalidad",NULL,NULL
"CAMERÚN (EL)","CAMERÚN (EL)","nacionalidad",NULL,NULL
"CANADÁ (EL)","CANADÁ (EL)","nacionalidad",NULL,NULL
"CHAD (EL)","CHAD (EL)","nacionalidad",NULL,NULL
"CHEQUIA","CHEQUIA","nacionalidad",NULL,NULL
"CHILE","CHILE","nacionalidad",NULL,NULL
"CHINA","CHINA","nacionalidad",NULL,NULL
"CHIPRE","CHIPRE","nacionalidad",NULL,NULL
"COLOMBIA","COLOMBIA","nacionalidad",NULL,NULL
"COMORAS (LAS)","COMORAS (LAS)","nacionalidad",NULL,NULL
"CONGO (EL)","CONGO (EL)","nacionalidad",NULL,NULL
"COSTA RICA","COSTA RICA","nacionalidad",NULL,NULL
"CÔTE DIVOIRE","CÔTE DIVOIRE","nacionalidad",NULL,NULL
"CROACIA","CROACIA","nacionalidad",NULL,NULL
"CUBA","CUBA","nacionalidad",NULL,NULL
"DINAMARCA","DINAMARCA","nacionalidad",NULL,NULL
"DJIBOUTI","DJIBOUTI","nacionalidad",NULL,NULL
"DOMINICA","DOMINICA","nacionalidad",NULL,NULL
"ECUADOR (EL)","ECUADOR (EL)","nacionalidad",NULL,NULL
"EGIPTO","EGIPTO","nacionalidad",NULL,NULL
"EL SALVADOR","EL SALVADOR","nacionalidad",NULL,NULL
"EMIRATOS ÁRABES UNIDOS (LOS)","EMIRATOS ÁRABES UNIDOS (LOS)","nacionalidad",NULL,NULL
"ERITREA","ERITREA","nacionalidad",NULL,NULL
"ESLOVAQUIA","ESLOVAQUIA","nacionalidad",NULL,NULL
"ESLOVENIA","ESLOVENIA","nacionalidad",NULL,NULL
"ESPAÑA","ESPAÑA","nacionalidad",NULL,NULL
"ESTADO DE PALESTINA","ESTADO DE PALESTINA","nacionalidad",NULL,NULL
"ESTADOS UNIDOS (LOS)","ESTADOS UNIDOS (LOS)","nacionalidad",NULL,NULL
"ESTONIA","ESTONIA","nacionalidad",NULL,NULL
"ETIOPÍA","ETIOPÍA","nacionalidad",NULL,NULL
"EX REPÚBLICA YUGOSLAVA DE MACEDONIA","EX REPÚBLICA YUGOSLAVA DE MACEDONIA","nacionalidad",NULL,NULL
"FEDERACIÓN DE RUSIA (LA)","FEDERACIÓN DE RUSIA (LA)","nacionalidad",NULL,NULL
"FIJI","FIJI","nacionalidad",NULL,NULL
"FILIPINAS","FILIPINAS","nacionalidad",NULL,NULL
"FINLANDIA","FINLANDIA","nacionalidad",NULL,NULL
"FRANCIA","FRANCIA","nacionalidad",NULL,NULL
"GABÓN (EL)","GABÓN (EL)","nacionalidad",NULL,NULL
"GAMBIA","GAMBIA","nacionalidad",NULL,NULL
"GEORGIA","GEORGIA","nacionalidad",NULL,NULL
"GHANA","GHANA","nacionalidad",NULL,NULL
"GRANADA","GRANADA","nacionalidad",NULL,NULL
"GRECIA","GRECIA","nacionalidad",NULL,NULL
"GUATEMALA","GUATEMALA","nacionalidad",NULL,NULL
"GUINEA","GUINEA","nacionalidad",NULL,NULL
"GUINEA ECUATORIAL","GUINEA ECUATORIAL","nacionalidad",NULL,NULL
"GUINEA-BISSAU","GUINEA-BISSAU","nacionalidad",NULL,NULL
"GUYANA","GUYANA","nacionalidad",NULL,NULL
"HAITÍ","HAITÍ","nacionalidad",NULL,NULL
"HONDURAS","HONDURAS","nacionalidad",NULL,NULL
"HUNGRÍA","HUNGRÍA","nacionalidad",NULL,NULL
"INDIA (LA)","INDIA (LA)","nacionalidad",NULL,NULL
"INDONESIA","INDONESIA","nacionalidad",NULL,NULL
"IRÁN (REPÚBLICA ISLÁMICA DEL)","IRÁN (REPÚBLICA ISLÁMICA DEL)","nacionalidad",NULL,NULL
"IRAQ (EL)","IRAQ (EL)","nacionalidad",NULL,NULL
"IRLANDA","IRLANDA","nacionalidad",NULL,NULL
"ISLANDIA","ISLANDIA","nacionalidad",NULL,NULL
"ISLAS COOK (LAS)","ISLAS COOK (LAS)","nacionalidad",NULL,NULL
"ISLAS MARSHALL (LAS)","ISLAS MARSHALL (LAS)","nacionalidad",NULL,NULL
"ISLAS SALOMÓN (LAS)","ISLAS SALOMÓN (LAS)","nacionalidad",NULL,NULL
"ISRAEL","ISRAEL","nacionalidad",NULL,NULL
"ITALIA","ITALIA","nacionalidad",NULL,NULL
"JAMAICA","JAMAICA","nacionalidad",NULL,NULL
"JAPÓN (EL)","JAPÓN (EL)","nacionalidad",NULL,NULL
"JORDANIA","JORDANIA","nacionalidad",NULL,NULL
"KAZAJSTÁN","KAZAJSTÁN","nacionalidad",NULL,NULL
"KENYA","KENYA","nacionalidad",NULL,NULL
"KIRGUISTÁN","KIRGUISTÁN","nacionalidad",NULL,NULL
"KIRIBATI","KIRIBATI","nacionalidad",NULL,NULL
"KUWAIT","KUWAIT","nacionalidad",NULL,NULL
"LA REPÚBLICA DE MOLDOVA","LA REPÚBLICA DE MOLDOVA","nacionalidad",NULL,NULL
"LESOTHO","LESOTHO","nacionalidad",NULL,NULL
"LETONIA","LETONIA","nacionalidad",NULL,NULL
"LÍBANO (EL)","LÍBANO (EL)","nacionalidad",NULL,NULL
"LIBERIA","LIBERIA","nacionalidad",NULL,NULL
"LIBIA","LIBIA","nacionalidad",NULL,NULL
"LIECHTENSTEIN","LIECHTENSTEIN","nacionalidad",NULL,NULL
"LITUANIA","LITUANIA","nacionalidad",NULL,NULL
"LUXEMBURGO","LUXEMBURGO","nacionalidad",NULL,NULL
"MADAGASCAR","MADAGASCAR","nacionalidad",NULL,NULL
"MALASIA","MALASIA","nacionalidad",NULL,NULL
"MALAWI","MALAWI","nacionalidad",NULL,NULL
"MALDIVAS","MALDIVAS","nacionalidad",NULL,NULL
"MALÍ","MALÍ","nacionalidad",NULL,NULL
"MALTA","MALTA","nacionalidad",NULL,NULL
"MARRUECOS","MARRUECOS","nacionalidad",NULL,NULL
"MAURICIO","MAURICIO","nacionalidad",NULL,NULL
"MAURITANIA","MAURITANIA","nacionalidad",NULL,NULL
"MÉXICO","MÉXICO","nacionalidad",NULL,NULL
"MICRONESIA (ESTADOS FEDERADOS DE)","MICRONESIA (ESTADOS FEDERADOS DE)","nacionalidad",NULL,NULL
"MÓNACO","MÓNACO","nacionalidad",NULL,NULL
"MONGOLIA","MONGOLIA","nacionalidad",NULL,NULL
"MONTENEGRO","MONTENEGRO","nacionalidad",NULL,NULL
"MOZAMBIQUE","MOZAMBIQUE","nacionalidad",NULL,NULL
"MYANMAR","MYANMAR","nacionalidad",NULL,NULL
"NAMIBIA","NAMIBIA","nacionalidad",NULL,NULL
"NAURU","NAURU","nacionalidad",NULL,NULL
"NEPAL","NEPAL","nacionalidad",NULL,NULL
"NICARAGUA","NICARAGUA","nacionalidad",NULL,NULL
"NÍGER (EL)","NÍGER (EL)","nacionalidad",NULL,NULL
"NIGERIA","NIGERIA","nacionalidad",NULL,NULL
"NIUE","NIUE","nacionalidad",NULL,NULL
"NORUEGA","NORUEGA","nacionalidad",NULL,NULL
"NUEVA ZELANDIA","NUEVA ZELANDIA","nacionalidad",NULL,NULL
"OMÁN","OMÁN","nacionalidad",NULL,NULL
"PAÍSES BAJOS (LOS)","PAÍSES BAJOS (LOS)","nacionalidad",NULL,NULL
"PAKISTÁN (EL)","PAKISTÁN (EL)","nacionalidad",NULL,NULL
"PALAU","PALAU","nacionalidad",NULL,NULL
"PANAMÁ","PANAMÁ","nacionalidad",NULL,NULL
"PAPUA NUEVA GUINEA","PAPUA NUEVA GUINEA","nacionalidad",NULL,NULL
"PARAGUAY (EL)","PARAGUAY (EL)","nacionalidad",NULL,NULL
"PERÚ (EL)","PERÚ (EL)","nacionalidad",NULL,NULL
"POLONIA","POLONIA","nacionalidad",NULL,NULL
"PORTUGAL","PORTUGAL","nacionalidad",NULL,NULL
"QATAR","QATAR","nacionalidad",NULL,NULL
"REINO UNIDO (EL)","REINO UNIDO (EL)","nacionalidad",NULL,NULL
"REPÚBLICA ÁRABE SIRIA (LA)","REPÚBLICA ÁRABE SIRIA (LA)","nacionalidad",NULL,NULL
"REPÚBLICA CENTROAFRICANA (LA)","REPÚBLICA CENTROAFRICANA (LA)","nacionalidad",NULL,NULL
"REPÚBLICA DE COREA (LA)","REPÚBLICA DE COREA (LA)","nacionalidad",NULL,NULL
"REPÚBLICA DEMOCRÁTICA DEL CONGO (LA)","REPÚBLICA DEMOCRÁTICA DEL CONGO (LA)","nacionalidad",NULL,NULL
"REPÚBLICA DEMOCRÁTICA POPULAR LAO (LA)","REPÚBLICA DEMOCRÁTICA POPULAR LAO (LA)","nacionalidad",NULL,NULL
"REPÚBLICA DOMINICANA (LA)","REPÚBLICA DOMINICANA (LA)","nacionalidad",NULL,NULL
"REPÚBLICA POPULAR DEMOCRÁTICA DE COREA (LA)","REPÚBLICA POPULAR DEMOCRÁTICA DE COREA (LA)","nacionalidad",NULL,NULL
"REPÚBLICA UNIDA DE TANZANÍA (LA)","REPÚBLICA UNIDA DE TANZANÍA (LA)","nacionalidad",NULL,NULL
"RUMANIA","RUMANIA","nacionalidad",NULL,NULL
"RWANDA","RWANDA","nacionalidad",NULL,NULL
"SAINT KITTS Y NEVIS","SAINT KITTS Y NEVIS","nacionalidad",NULL,NULL
"SAMOA","SAMOA","nacionalidad",NULL,NULL
"SAN MARINO","SAN MARINO","nacionalidad",NULL,NULL
"SAN VICENTE Y LAS GRANADINAS","SAN VICENTE Y LAS GRANADINAS","nacionalidad",NULL,NULL
"SANTA LUCÍA","SANTA LUCÍA","nacionalidad",NULL,NULL
"SANTA SEDE (LA)","SANTA SEDE (LA)","nacionalidad",NULL,NULL
"SANTO TOMÉ Y PRÍNCIPE","SANTO TOMÉ Y PRÍNCIPE","nacionalidad",NULL,NULL
"SENEGAL (EL)","SENEGAL (EL)","nacionalidad",NULL,NULL
"SERBIA","SERBIA","nacionalidad",NULL,NULL
"SERBIA Y MONTENEGRO","SERBIA Y MONTENEGRO","nacionalidad",NULL,NULL
"SEYCHELLES","SEYCHELLES","nacionalidad",NULL,NULL
"SIERRA LEONA","SIERRA LEONA","nacionalidad",NULL,NULL
"SINGAPUR","SINGAPUR","nacionalidad",NULL,NULL
"SOMALIA","SOMALIA","nacionalidad",NULL,NULL
"SRI LANKA","SRI LANKA","nacionalidad",NULL,NULL
"SUDÁFRICA","SUDÁFRICA","nacionalidad",NULL,NULL
"SUDÁN (EL)","SUDÁN (EL)","nacionalidad",NULL,NULL
"SUDÁN DEL SUR","SUDÁN DEL SUR","nacionalidad",NULL,NULL
"SUECIA","SUECIA","nacionalidad",NULL,NULL
"SUIZA","SUIZA","nacionalidad",NULL,NULL
"SURINAME","SURINAME","nacionalidad",NULL,NULL
"SWAZILANDIA","SWAZILANDIA","nacionalidad",NULL,NULL
"TAILANDIA","TAILANDIA","nacionalidad",NULL,NULL
"TAYIKISTÁN","TAYIKISTÁN","nacionalidad",NULL,NULL
"TIMOR-LESTE","TIMOR-LESTE","nacionalidad",NULL,NULL
"TOGO (EL)","TOGO (EL)","nacionalidad",NULL,NULL
"TONGA","TONGA","nacionalidad",NULL,NULL
"TRINIDAD Y TABAGO","TRINIDAD Y TABAGO","nacionalidad",NULL,NULL
"TÚNEZ","TÚNEZ","nacionalidad",NULL,NULL
"TURKMENISTÁN","TURKMENISTÁN","nacionalidad",NULL,NULL
"TURQUÍA","TURQUÍA","nacionalidad",NULL,NULL
"TUVALU","TUVALU","nacionalidad",NULL,NULL
"UCRANIA","UCRANIA","nacionalidad",NULL,NULL
"UGANDA","UGANDA","nacionalidad",NULL,NULL
"URUGUAY (EL)","URUGUAY (EL)","nacionalidad",NULL,NULL
"UZBEKISTÁN","UZBEKISTÁN","nacionalidad",NULL,NULL
