"name","value","taxonomy","code1","code2"
"Agricultura","1","ocupation_mulaware",NULL,NULL
"Informática/ Comunicación","10","ocupation_mulaware",NULL,NULL
"Cultivo De Linaza","100","ocupation_mulaware","111055",NULL
"Dirección General Adjunta","1000","ocupation_mulaware","9800107",NULL
"Director","1001","ocupation_mulaware","9800215",NULL
"Director","1002","ocupation_mulaware","9800305",NULL
"Director Ejecutivo","1003","ocupation_mulaware","9800212",NULL
"Director General","1004","ocupation_mulaware","9800211",NULL
"Director General","1005","ocupation_mulaware","9800304",NULL
"Edicion De Libros","1006","ocupation_mulaware","2912013",NULL
"Edicion De Libros Y Similares","1007","ocupation_mulaware","2912005",NULL
"Edicion De Periodicos Y Revistas","1008","ocupation_mulaware","2911015",NULL
"Elaboracion De Objetos Artisticos De Alfareria Y Ceramica","1009","ocupation_mulaware","3319010",NULL
"Cultivo De Lino","101","ocupation_mulaware","144022",NULL
"Elaboracion De Pulque","1010","ocupation_mulaware","2115013",NULL
"Embajador","1011","ocupation_mulaware","9800116",NULL
"Empacadora De Carne","1012","ocupation_mulaware","2049014",NULL
"Empacadora De Conservas Alimenticias","1013","ocupation_mulaware","2012011",NULL
"Empacadora De Especias","1014","ocupation_mulaware","2099019",NULL
"Empacadora De Frutas Y Legumbres","1015","ocupation_mulaware","2012029",NULL
"Empacadora De Otros Mariscos","1016","ocupation_mulaware","2061026",NULL
"Empacadora De Te","1017","ocupation_mulaware","2027010",NULL
"Empresa De Servicio De Limpieza","1018","ocupation_mulaware","8935019",NULL
"Empresa De Telefonos","1019","ocupation_mulaware","7611016",NULL
"Cultivo De Maguey","102","ocupation_mulaware","145020",NULL
"Empresa De Telegrafos","1020","ocupation_mulaware","7612014",NULL
"Empresas Controladoras Financieras","1021","ocupation_mulaware","8219083",NULL
"Empresas Controladoras No Financieras","1022","ocupation_mulaware","8429020",NULL
"Empresas De Seguridad Privada","1023","ocupation_mulaware","8429038",NULL
"Empresas Transportadoras De Valores","1024","ocupation_mulaware","8429046",NULL
"Encuadernacion","1025","ocupation_mulaware","2921014",NULL
"Enlace","1026","ocupation_mulaware","9800111",NULL
"Enlace","1027","ocupation_mulaware","9800220",NULL
"Enlace y Auxiliar Administrativo","1028","ocupation_mulaware","9800310",NULL
"Establecimientos Privados De Instruccion Educacion Cultura E Investigacion","1029","ocupation_mulaware","9119018",NULL
"Cultivo De Maiz","103","ocupation_mulaware","111063",NULL
"Establecimientos Publicos De Instruccion Educacion Subprofesional Y Profesional Cultura E Investigacion","1030","ocupation_mulaware","9115016",NULL
"Estacionamiento Privado Para Vehiculos","1031","ocupation_mulaware","8916019",NULL
"Estacionamiento Publico Para Vehiculos","1032","ocupation_mulaware","8916027",NULL
"Estadios Y Arenas","1033","ocupation_mulaware","8829014",NULL
"Estudiante y Menor De Edad Sin Ocupación","1034","ocupation_mulaware","9900904",NULL
"Estudio Fotografico","1035","ocupation_mulaware","8941016",NULL
"Estudios Cinematograficos","1036","ocupation_mulaware","8821010",NULL
"Factoring","1037","ocupation_mulaware","8219075",NULL
"Federaciones Y Asociaciones Deportivas Y Otras Con Fines Recreativos","1038","ocupation_mulaware","8833015",NULL
"Fobaproa-Ipab","1039","ocupation_mulaware","8220014",NULL
"Cultivo De Mango","104","ocupation_mulaware","142050",NULL
"Fobaproa-Ipab","1040","ocupation_mulaware","8221013",NULL
"Forrado De Botones Y Hebillas","1041","ocupation_mulaware","2434025",NULL
"Fotocopiado","1042","ocupation_mulaware","2921048",NULL
"Galerias De Artes Graficas Y Museos","1043","ocupation_mulaware","8832017",NULL
"Gobernador Constitucional Del Estado y Jefe De Gobierno Del Df","1044","ocupation_mulaware","9800201",NULL
"Gobierno Estatal","1045","ocupation_mulaware","9411026",NULL
"Gobierno Extranjero","1046","ocupation_mulaware","9912024",NULL
"Gobierno Federal","1047","ocupation_mulaware","9411018",NULL
"Gobierno Municipal","1048","ocupation_mulaware","9411034",NULL
"Grabacion De Discos Y Cintas","1049","ocupation_mulaware","3722023",NULL
"Cultivo De Manzana","105","ocupation_mulaware","142068",NULL
"Grabacion De Sonido En Peliculas","1050","ocupation_mulaware","8821028",NULL
"Grabado E Impresion En Piedra Vidrio Y Otros Materiales Litografia Y Fotolitografia","1051","ocupation_mulaware","2929034",NULL
"Grabado E Impresion Fotomecanica Mediante Agua Fuerte(Heliograbado)","1052","ocupation_mulaware","2929042",NULL
"Hidrogenadora De Productos Diversos","1053","ocupation_mulaware","3072030",NULL
"Hipodromo","1054","ocupation_mulaware","8829022",NULL
"Hipódromo","1055","ocupation_mulaware","8800001",NULL
"Hospitales Sanatorios Clinicas Y Maternidades","1056","ocupation_mulaware","9211012",NULL
"Hotel","1057","ocupation_mulaware","8611015",NULL
"Impermeabilizacion De Inmuebles","1058","ocupation_mulaware","4219011",NULL
"Imprenta ( Tipografia)","1059","ocupation_mulaware","2921056",NULL
"Cultivo De Melon","106","ocupation_mulaware","119025",NULL
"Impresion Mediante Cilindros (Rotograbado)","1060","ocupation_mulaware","2921072",NULL
"Impresion Mediante Cilindros De Caucho","1061","ocupation_mulaware","2921064",NULL
"Industria Del Papel","1062","ocupation_mulaware","2800002",NULL
"Inspector","1063","ocupation_mulaware","9800312",NULL
