"name","value","taxonomy","code1","code2"
"NA","NA","pais",NULL,NULL
"ANGOLA","101","pais","AFRICA","100"
"ARGELIA","102","pais","AFRICA","100"
"BENIN","104","pais","AFRICA","100"
"BOTSWANA","105","pais","AFRICA","100"
"BURKINA FASO","106","pais","AFRICA","100"
"BURUNDI","107","pais","AFRICA","100"
"CABO VERDE","108","pais","AFRICA","100"
"CAMERUN","109","pais","AFRICA","100"
"RUANDA","112","pais","AFRICA","100"
"REPUBLICA PUPULAR DEL CONGO","113","pais","AFRICA","100"
"COSTA DE MARFIL","114","pais","AFRICA","100"
"CHAD","115","pais","AFRICA","100"
"DJIBOUTI","116","pais","AFRICA","100"
"EGIPTO","117","pais","AFRICA","100"
"ERITREA","118","pais","AFRICA","100"
"ETIOPIA","119","pais","AFRICA","100"
"GABON","120","pais","AFRICA","100"
"GAMBIA","121","pais","AFRICA","100"
"GHANA","122","pais","AFRICA","100"
"GUINEA","123","pais","AFRICA","100"
"GUINEA BISSAU","124","pais","AFRICA","100"
"GUINEA ECUATORIAL","125","pais","AFRICA","100"
"KENIA","126","pais","AFRICA","100"
"LESOTHO","127","pais","AFRICA","100"
"LIBERIA","128","pais","AFRICA","100"
"LIBIA","129","pais","AFRICA","100"
"MADAGASCAR","130","pais","AFRICA","100"
"MALAWI","133","pais","AFRICA","100"
"MALI","134","pais","AFRICA","100"
"MARRUECOS","135","pais","AFRICA","100"
"MAURICIO","136","pais","AFRICA","100"
"MAURITANIA","137","pais","AFRICA","100"
"ISLAS ANGLONORMANDAS","138","pais","AFRICA","100"
"MOZAMBIQUE","139","pais","AFRICA","100"
"NAMIBIA","140","pais","AFRICA","100"
"NIGER","141","pais","AFRICA","100"
"NIGERIA","142","pais","AFRICA","100"
"REPUBLICA CENTROAFRICANA","143","pais","AFRICA","100"
"SAN PEDRO Y MIQUELON","145","pais","AFRICA","100"
"ISLA SANTA HELENA","147","pais","AFRICA","100"
"SANTO TOME Y PRINCIPE","148","pais","AFRICA","100"
"SENEGAL","149","pais","AFRICA","100"
"SEYCHELLES","150","pais","AFRICA","100"
"SIERRA LEONA","151","pais","AFRICA","100"
"COMORAS","152","pais","AFRICA","100"
"SOMALIA","153","pais","AFRICA","100"
"SUDAFRICA","154","pais","AFRICA","100"
"SUAZILANDIA","160","pais","AFRICA","100"
"TANZANIA","161","pais","AFRICA","100"
"TOGO","162","pais","AFRICA","100"
"TUNEZ","164","pais","AFRICA","100"
"UGANDA","165","pais","AFRICA","100"
"ZAMBIA","167","pais","AFRICA","100"
"ZIMBABWE","168","pais","AFRICA","100"
"REPUBLICA DEMOCRATICA DEL CONGO","169","pais","AFRICA","100"
"REPUBLICA ARABE SAHARAUI DEMOCRATICA","170","pais","AFRICA","100"
"SUDAN","171","pais","AFRICA","100"
"SUDAN DEL SUR","172","pais","AFRICA","100"
"ANGUILA","201","pais","AMERICA","200"
"ANTIGUA Y BARBUDA","202","pais","AMERICA","200"
"ARGENTINA","204","pais","AMERICA","200"
"ARUBA","205","pais","AMERICA","200"
"BAHAMAS","206","pais","AMERICA","200"
"BARBADOS","207","pais","AMERICA","200"
"BELICE","208","pais","AMERICA","200"
"BERMUDAS","209","pais","AMERICA","200"
"BOLIVIA","210","pais","AMERICA","200"
"BRASIL","211","pais","AMERICA","200"
"ISLAS CAIMAN","212","pais","AMERICA","200"
"CANADA","213","pais","AMERICA","200"
"COLOMBIA","214","pais","AMERICA","200"
"COSTA RICA","215","pais","AMERICA","200"
"CUBA","216","pais","AMERICA","200"
"CHILE","217","pais","AMERICA","200"
"DOMINICA","218","pais","AMERICA","200"
"ECUADOR","219","pais","AMERICA","200"
"EL SALVADOR","220","pais","AMERICA","200"
"ESTADOS UNIDOS DE AMERICA","221","pais","AMERICA","200"
"GRANADA","222","pais","AMERICA","200"
"GROENLANDIA","223","pais","AMERICA","200"
"GUADALUPE","224","pais","AMERICA","200"
"GUATEMALA","225","pais","AMERICA","200"
"GUYANA","226","pais","AMERICA","200"
"GUAYANA FRANCESA","227","pais","AMERICA","200"
"HAITI","228","pais","AMERICA","200"
"HONDURAS","229","pais","AMERICA","200"
"JAMAICA","230","pais","AMERICA","200"
"MALVINAS","231","pais","AMERICA","200"
"ISLA DE MONTSERRAT","233","pais","AMERICA","200"
"NICARAGUA","234","pais","AMERICA","200"
"PANAMA","235","pais","AMERICA","200"
"PARAGUAY","236","pais","AMERICA","200"
"PERU","237","pais","AMERICA","200"
"PUERTO RICO","238","pais","AMERICA","200"
"REPUBLICA DOMINICANA","239","pais","AMERICA","200"
"SAN CRISTOBAL Y NIEVES","240","pais","AMERICA","200"
"ISLA DE MAN","241","pais","AMERICA","200"
"SAN VICENTE Y LAS GRANADINAS","242","pais","AMERICA","200"
"SANTA LUCIA","243","pais","AMERICA","200"
"SURINAM","244","pais","AMERICA","200"
"TRINIDAD Y TOBAGO","245","pais","AMERICA","200"
"ISLAS TURCAS Y CAICOS","246","pais","AMERICA","200"
"URUGUAY","247","pais","AMERICA","200"
"ISLAS VIRGENES DE LOS ESTADOS UNIDOS","248","pais","AMERICA","200"
"ISLAS VIRGENES BRITANICAS","249","pais","AMERICA","200"
"VENEZUELA","250","pais","AMERICA","200"
"CURAZAO","251","pais","AMERICA","200"
"ISLA DE SAINT MARTEEN","252","pais","AMERICA","200"
"BONAIRE, SAN EUSTAQUIO, SABA","253","pais","AMERICA","200"
"MEXICO","260","pais","AMERICA","200"
"AFGANISTAN","301","pais","ASIA","300"
"ARABIA SAUDITA","302","pais","ASIA","300"
"ARMENIA","303","pais","ASIA","300"
"AZERBAIYAN","304","pais","ASIA","300"
"BAHREIN","305","pais","ASIA","300"
"BANGLADESH","306","pais","ASIA","300"
"BHUTAN","307","pais","ASIA","300"
"BRUNEI ","308","pais","ASIA","300"
"CAMBOYA","309","pais","ASIA","300"
"COREA DEL NORTE","312","pais","ASIA","300"
"COREA DEL SUR","313","pais","ASIA","300"
"CHINA","315","pais","ASIA","300"
"TAIWAN","316","pais","ASIA","300"
"CHIPRE","318","pais","ASIA","300"
"EMIRATOS ARABES UNIDOS","321","pais","ASIA","300"
"FILIPINAS","322","pais","ASIA","300"
"GEORGIA","323","pais","ASIA","300"
"INDIA","325","pais","ASIA","300"
"INDONESIA","326","pais","ASIA","300"
"IRAN","327","pais","ASIA","300"
"IRAQ","328","pais","ASIA","300"
