"name","value","taxonomy","code1","code2"
"CULTIVO DE ALPISTE","111013","pisa_actividad_economica",NULL,NULL
"CULTIVO DE ARROZ","111021","pisa_actividad_economica",NULL,NULL
"CULTIVO DE AVENA","111039","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CEBADA","111047","pisa_actividad_economica",NULL,NULL
"CULTIVO DE LINAZA","111055","pisa_actividad_economica",NULL,NULL
"CULTIVO DE MAIZ","111063","pisa_actividad_economica",NULL,NULL
"CULTIVO DE MILO","111071","pisa_actividad_economica",NULL,NULL
"CULTIVO DE SORGO","111089","pisa_actividad_economica",NULL,NULL
"CULTIVO DE SOYA","111097","pisa_actividad_economica",NULL,NULL
"CULTIVO DE TRIGO","111104","pisa_actividad_economica",NULL,NULL
"CULTIVO DE AJO","112011","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CALABAZA","112029","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CAMOTE","112037","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CEBOLLA","112045","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CHILE","112053","pisa_actividad_economica",NULL,NULL
"CULTIVO DE ESPARRAGO","112061","pisa_actividad_economica",NULL,NULL
"CULTIVO DE FRIJOL","112079","pisa_actividad_economica",NULL,NULL
"CULTIVO DE GARBANZO","112087","pisa_actividad_economica",NULL,NULL
"CULTIVO DE JITOMATE","112095","pisa_actividad_economica",NULL,NULL
"CULTIVO DE LENTEJA","112102","pisa_actividad_economica",NULL,NULL
"CULTIVO DE NOPAL","112110","pisa_actividad_economica",NULL,NULL
"CULTIVO DE OTRAS HORTALIZAS","112128","pisa_actividad_economica",NULL,NULL
"CULTIVO DE PAPA","112136","pisa_actividad_economica",NULL,NULL
"CULTIVO DE REMOLACHA","112144","pisa_actividad_economica",NULL,NULL
"CULTIVO DE TOMATE","112152","pisa_actividad_economica",NULL,NULL
"CULTIVO DE YUCA","112160","pisa_actividad_economica",NULL,NULL
"CULTIVO DE ALFALFA","113019","pisa_actividad_economica",NULL,NULL
"CULTIVO DE FRESA","119017","pisa_actividad_economica",NULL,NULL
"CULTIVO DE MELON","119025","pisa_actividad_economica",NULL,NULL
"CULTIVO DE PIÃA","119033","pisa_actividad_economica",NULL,NULL
"CULTIVO DE SANDIA","119041","pisa_actividad_economica",NULL,NULL
"CULTIVO DE ALGODON","121012","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CAÃA DE AZUCAR","122010","pisa_actividad_economica",NULL,NULL
"CULTIVO DE TABACO","123018","pisa_actividad_economica",NULL,NULL
"CULTIVO DE AJONJOLI","124016","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CACAHUATE","124024","pisa_actividad_economica",NULL,NULL
"CULTIVO DE CARTAMO","124032","pisa_actividad_economica",NULL,NULL
"CULTIVO DE NUEZ","124040","pisa_actividad_economica",NULL,NULL
