"name","value","taxonomy","code1","code2"
"INVESTIGADOR","50","pisa_ocupaciones",NULL,NULL
"AGENTE DE SEGUROS","2","pisa_ocupaciones",NULL,NULL
"AGRICULTOR-ARRENDATARIO","3","pisa_ocupaciones",NULL,NULL
"AGRICULTOR-PROPIETARIO","4","pisa_ocupaciones",NULL,NULL
"AGRONOMO","5","pisa_ocupaciones",NULL,NULL
"ALBANIL","6","pisa_ocupaciones",NULL,NULL
"ARRENDADOR DE INMUEBLES","8","pisa_ocupaciones",NULL,NULL
"ARTISTA","9","pisa_ocupaciones",NULL,NULL
"ASISTENTE","10","pisa_ocupaciones",NULL,NULL
"AUXILIAR ADMINISTRATIVO","11","pisa_ocupaciones",NULL,NULL
"AUXILIAR CONTABLE","12","pisa_ocupaciones",NULL,NULL
"AUXILIAR DE AREA","13","pisa_ocupaciones",NULL,NULL
"AVICULTOR","14","pisa_ocupaciones",NULL,NULL
"AYUDANTE DE OFICIOS","15","pisa_ocupaciones",NULL,NULL
"BARRENDERO/LIMPIA","16","pisa_ocupaciones",NULL,NULL
"CAJERO","17","pisa_ocupaciones",NULL,NULL
"CARNICERO/TABLAJERO","18","pisa_ocupaciones",NULL,NULL
"CARPINTERO","19","pisa_ocupaciones",NULL,NULL
"COCINERO","20","pisa_ocupaciones",NULL,NULL
"COMERCIANTE / PROPIETARIO","21","pisa_ocupaciones",NULL,NULL
"COMISIONISTA","22","pisa_ocupaciones",NULL,NULL
"CONCESIONARIO DE TRANSPORTE","23","pisa_ocupaciones",NULL,NULL
"CONSTRUCTOR","24","pisa_ocupaciones",NULL,NULL
"CONTADOR PUBLICO","25","pisa_ocupaciones",NULL,NULL
"CONTRATISTA","26","pisa_ocupaciones",NULL,NULL
"CORREDOR DE BIENES RAICES","27","pisa_ocupaciones",NULL,NULL
"COSMETOLOGA/COSMEATRA","28","pisa_ocupaciones",NULL,NULL
"COSTURERA/MODISTA","29","pisa_ocupaciones",NULL,NULL
"CHOFER","30","pisa_ocupaciones",NULL,NULL
