"name","value","taxonomy","code1","code2"
"ING. EN DISENO","73","pisa_profesion",NULL,NULL
"MEDICO RADIOLOGO","299","pisa_profesion",NULL,NULL
"MEDICO REHABILITADOR","300","pisa_profesion",NULL,NULL
"(0) SIN PROFESION","1","pisa_profesion",NULL,NULL
"ABOGADO","2","pisa_profesion",NULL,NULL
"ACTUARIO","3","pisa_profesion",NULL,NULL
"ANALISTA DE SISTEMAS","4","pisa_profesion",NULL,NULL
"ASISTENTE EDUCATIVO","5","pisa_profesion",NULL,NULL
"ASISTENTE EJECUTIVO","6","pisa_profesion",NULL,NULL
"ASISTENTE MEDICO","7","pisa_profesion",NULL,NULL
"AUXILIAR ADMINISTRATIVO","8","pisa_profesion",NULL,NULL
"AUXILIAR CONTABLE","9","pisa_profesion",NULL,NULL
"AUXILIAR DE EDUCADORA","10","pisa_profesion",NULL,NULL
"AUXILIAR DE ELECTRONICA","11","pisa_profesion",NULL,NULL
"CARPINTERO","12","pisa_profesion",NULL,NULL
"COMERCIO","13","pisa_profesion",NULL,NULL
"CONTROLADOR DE TRAFICO AEREO","14","pisa_profesion",NULL,NULL
"COREOGRAFO","15","pisa_profesion",NULL,NULL
"CORTE Y CONFECCION","16","pisa_profesion",NULL,NULL
"COSMETOLOGIA","17","pisa_profesion",NULL,NULL
"DECORADOR","18","pisa_profesion",NULL,NULL
"DECORADOR DE INTERIORES","19","pisa_profesion",NULL,NULL
"DENTISTA","20","pisa_profesion",NULL,NULL
"DIBUJO TECNICO","21","pisa_profesion",NULL,NULL
"DISENO INDUSTRIAL DE PATRONES","22","pisa_profesion",NULL,NULL
"ELECTRICISTA","23","pisa_profesion",NULL,NULL
"ELECTROMECANICO","24","pisa_profesion",NULL,NULL
"EMBALSAMADOR DE CADAVERES","25","pisa_profesion",NULL,NULL
"EMPLEADO","26","pisa_profesion",NULL,NULL
"ENFERMERIA","27","pisa_profesion",NULL,NULL
"ENSENANZA SUPERIOR","28","pisa_profesion",NULL,NULL
"ESTETICISTA","29","pisa_profesion",NULL,NULL
"ESTILISTA","30","pisa_profesion",NULL,NULL
"FISICO MATEMATICO","31","pisa_profesion",NULL,NULL
"GESTOR","32","pisa_profesion",NULL,NULL
"HISTOPATOLOGO","33","pisa_profesion",NULL,NULL
"HISTOTECNOLOGO","34","pisa_profesion",NULL,NULL
"ING. AGROINDUSTRIAL","35","pisa_profesion",NULL,NULL
"ING. AGRONOMO","36","pisa_profesion",NULL,NULL
"ING. AGRONOMO FITOTECNISTA","37","pisa_profesion",NULL,NULL
"ING. AGRONOMO ZOOTECNISTA","38","pisa_profesion",NULL,NULL
"ING. AGROPECUARIO ZOOTECNISTA","39","pisa_profesion",NULL,NULL
"ING. AMBIENTAL","40","pisa_profesion",NULL,NULL
"ING. ARQUITECTO","41","pisa_profesion",NULL,NULL
"ING. ASEGURADOR","42","pisa_profesion",NULL,NULL
"ING. ASEGURADOR DE CALIDAD","43","pisa_profesion",NULL,NULL
"ING. AUTOMOTRIZ","44","pisa_profesion",NULL,NULL
"ING. BIOLOGO","45","pisa_profesion",NULL,NULL
"ING. BIOQUIMICO","46","pisa_profesion",NULL,NULL
"ING. BIOQUIMICO DE ALIMENTOS","47","pisa_profesion",NULL,NULL
"ING. CIVIL","48","pisa_profesion",NULL,NULL
"ING. CONSULTOR","49","pisa_profesion",NULL,NULL
"ING. CONTRATISTA","50","pisa_profesion",NULL,NULL
"ING. DE CALIDAD","51","pisa_profesion",NULL,NULL
"ING. DE COMPRAS","52","pisa_profesion",NULL,NULL
"ING. DE MINAS","53","pisa_profesion",NULL,NULL
"ING. EN ADMINISTRACION","54","pisa_profesion",NULL,NULL
"ING. EN AERONAUTICA","55","pisa_profesion",NULL,NULL
"ING. EN ALIMENTOS","56","pisa_profesion",NULL,NULL
"ING. EN APLICACION","57","pisa_profesion",NULL,NULL
"ING. EN ARTES","58","pisa_profesion",NULL,NULL
"ING. EN AUDIO","59","pisa_profesion",NULL,NULL
"ING. EN AUTOMATIZACION","60","pisa_profesion",NULL,NULL
"ING. EN CALIBRACION","61","pisa_profesion",NULL,NULL
"ING. EN COMBUSTION INTERNA","62","pisa_profesion",NULL,NULL
"ING. EN COMPUTACION","63","pisa_profesion",NULL,NULL
"ING. EN COMUNICACIONES","64","pisa_profesion",NULL,NULL
"ING. EN CONSTRUCCION","65","pisa_profesion",NULL,NULL
"ING. EN CONTROL DE CALIDAD","66","pisa_profesion",NULL,NULL
"ING. EN CONTROL DE INSTRUMENTO","67","pisa_profesion",NULL,NULL
"ING. EN CONTROL DE PROCESOS","68","pisa_profesion",NULL,NULL
"ING. EN CONTROL DE PRODUCCION","69","pisa_profesion",NULL,NULL
"ING. EN COSTOS","70","pisa_profesion",NULL,NULL
"ING. EN DESARROLLO RURAL","71","pisa_profesion",NULL,NULL
"ING. EN DESARROLLO SOCIAL","72","pisa_profesion",NULL,NULL
"ING. EN DISENO MECANICO","74","pisa_profesion",NULL,NULL
"ING. EN DISENO TEXTIL","75","pisa_profesion",NULL,NULL
"ING. EN ECOLOGIA","76","pisa_profesion",NULL,NULL
"ING. EN ELECTRICIDAD","77","pisa_profesion",NULL,NULL
"ING. EN ELECTRICIDAD INDUSTRIAL","78","pisa_profesion",NULL,NULL
"ING. EN ELECTROMECANICA","79","pisa_profesion",NULL,NULL
"ING. EN ELECTRONICA","80","pisa_profesion",NULL,NULL
"ING. EN EVALUACION","81","pisa_profesion",NULL,NULL
"ING. EN GEOFISICA","82","pisa_profesion",NULL,NULL
"ING. EN GEOLOGIA","83","pisa_profesion",NULL,NULL
"ING. EN GEOQUIMICA","84","pisa_profesion",NULL,NULL
"ING. EN HIDROLOGIA","85","pisa_profesion",NULL,NULL
"ING. EN INFORMATICA","86","pisa_profesion",NULL,NULL
"ING. EN INFORMATICA DE RED","87","pisa_profesion",NULL,NULL
"ING. EN INSTRUMENTACION","88","pisa_profesion",NULL,NULL
"ING. EN INVESTIGACION","89","pisa_profesion",NULL,NULL
"ING. EN LOGISTICA","90","pisa_profesion",NULL,NULL
"ING. EN MANTENIMIENTO","91","pisa_profesion",NULL,NULL
"ING. EN MANTENIMIENTO ELECTRICO","92","pisa_profesion",NULL,NULL
"ING. EN MANUFACTURA","93","pisa_profesion",NULL,NULL
"ING. EN MAQUINAS","94","pisa_profesion",NULL,NULL
"ING. EN MATERIALES","95","pisa_profesion",NULL,NULL
"ING. EN MERCADOTECNIA","96","pisa_profesion",NULL,NULL
"ING. EN METODOS","97","pisa_profesion",NULL,NULL
"ING. EN MOLDEO","98","pisa_profesion",NULL,NULL
"ING. EN NEOMATIZACION","99","pisa_profesion",NULL,NULL
"ING. EN PLANEACION","100","pisa_profesion",NULL,NULL
"ING. EN PROCESOS","101","pisa_profesion",NULL,NULL
