"name","value","taxonomy","code1","code2"
"Comisionado Nacional de Acuacultura y Pesca","95","pisa_puesto",NULL,NULL
"Director en Jefe de Apoyos y Servicios a la Comerc","96","pisa_puesto",NULL,NULL
"Titular del Servicio Nacional de Sanidad, Inocuida","97","pisa_puesto",NULL,NULL
"Director General del Servicio de Información Agroa","98","pisa_puesto",NULL,NULL
"Director General Adjunto del Servicio Nacional de","99","pisa_puesto",NULL,NULL
"Director en Jefe del Instituto Nacional de Pesca","100","pisa_puesto",NULL,NULL
"Director del Colegio Superior Agropecuario del Est","101","pisa_puesto",NULL,NULL
"Miembros del Pleno de la Comisión Federal de Telec","102","pisa_puesto",NULL,NULL
"Director General del Instituto Mexicano del Transp","103","pisa_puesto",NULL,NULL
"Titular de Servicios a la Navegación en el Espacio","104","pisa_puesto",NULL,NULL
"Director General del Instituto Nacional de Desarro","105","pisa_puesto",NULL,NULL
"Jefe de Coordinación Nacional del Programa de Desa","106","pisa_puesto",NULL,NULL
"Director General de la Comisión Federal de Mejora","107","pisa_puesto",NULL,NULL
"Coordinador General del Programa Nacional de Apoyo","108","pisa_puesto",NULL,NULL
"Administrador Federal de Servicios Educativos en e","109","pisa_puesto",NULL,NULL
"Presidente de la Comisión de Apelación y Arbitraje","110","pisa_puesto",NULL,NULL
"Presidente del Consejo Nacional para la Cultura y","111","pisa_puesto",NULL,NULL
"Director General del Instituto Nacional de Antropo","112","pisa_puesto",NULL,NULL
"Director General del Instituto Nacional de Antropo","113","pisa_puesto",NULL,NULL
"Director General del Instituto Nacional de Bellas","114","pisa_puesto",NULL,NULL
"Director General del Instituto Nacional del Derech","115","pisa_puesto",NULL,NULL
"Director General del Instituto Politécnico Naciona","116","pisa_puesto",NULL,NULL
"Director General de Radio Educación","117","pisa_puesto",NULL,NULL
"Rector de la Universidad Pedagógica Nacional","118","pisa_puesto",NULL,NULL
"Director General del Instituto Nacional de Estudio","119","pisa_puesto",NULL,NULL
"Comisionados de la Comisión Reguladora de Energía","120","pisa_puesto",NULL,NULL
"Director General de la Comisión Nacional de Seguridad","121","pisa_puesto",NULL,NULL
"Director General de la Comisión Nacional para el A","122","pisa_puesto",NULL,NULL
"Director General del Centro de Investigación y Seg","123","pisa_puesto",NULL,NULL
"Coordinador del Instituto Nacional para el Federal","124","pisa_puesto",NULL,NULL
"Director General del Archivo General de la Nación","125","pisa_puesto",NULL,NULL
"Comisionado del Instituto Nacional de Migración","126","pisa_puesto",NULL,NULL
"Titular de la Secretaría General del Consejo Nacio","127","pisa_puesto",NULL,NULL
"Coordinador General de la Comisión Mexicana de Ayu","128","pisa_puesto",NULL,NULL
"Titular de la Secretaría Técnica de la Comisión Ca","129","pisa_puesto",NULL,NULL
"Director del Centro de Producción de Programas Inf","130","pisa_puesto",NULL,NULL
"Director General del Centro Nacional de Prevención","131","pisa_puesto",NULL,NULL
"Titular de la Coordinación para el Diálogo y la Ne","132","pisa_puesto",NULL,NULL
"Presidente de la Comisión Nacional de Seguros y Fi","133","pisa_puesto",NULL,NULL
"Presidente de la Comisión Nacional del Sistema de","134","pisa_puesto",NULL,NULL
"Titular de Inspección y Contralorí­a General, Jefe","135","pisa_puesto",NULL,NULL
"Titulares de los Órganos de Control Interno nombra","136","pisa_puesto",NULL,NULL
"Presidente del Instituto de Administración y Avalú","137","pisa_puesto",NULL,NULL
"Titular de Inspección y Contralorí­a de Marina, Jef","138","pisa_puesto",NULL,NULL
"Presidente del Instituto Nacional de Ecologí­a","139","pisa_puesto",NULL,NULL
"Procurador Federal de Protección al Ambiente","140","pisa_puesto",NULL,NULL
"Comisionado Nacional de Áreas Naturales Protegidas","141","pisa_puesto",NULL,NULL
"Presidente del Instituto Matí­as Romero","142","pisa_puesto",NULL,NULL
