"name","value","taxonomy","code1","code2"
"CIUDAD DE MEXICO","CDMX","states",NULL,NULL
"ESTADO DE MEXICO","MEX","states",NULL,NULL
"AGUASCALIENTES","AGS","states",NULL,NULL
"BAJA CALIFORNIA","BC","states",NULL,NULL
"BAJA CALIFORNIA SUR","BCS","states",NULL,NULL
"CAMPECHE","CAMP","states",NULL,NULL
"CHIAPAS","CHIS","states",NULL,NULL
"CHIHUAHUA","CHIH","states",NULL,NULL
"COAHUILA","COAH","states",NULL,NULL
"COLIMA","COL","states",NULL,NULL
"DURANGO","DGO","states",NULL,NULL
"GUANAJUATO","GTO","states",NULL,NULL
"GUERRERO","GRO","states",NULL,NULL
"HIDALGO","HGO","states",NULL,NULL
"JALISCO","JAL","states",NULL,NULL
"MICHOACAN","MICH","states",NULL,NULL
"MORELOS","MOR","states",NULL,NULL
"NAYARIT","NAY","states",NULL,NULL
"NUEVO LEON","NL","states",NULL,NULL
"OAXACA","OAX","states",NULL,NULL
"PUEBLA","PUE","states",NULL,NULL
"QUERATARO","QRO","states",NULL,NULL
"QUINTANA ROO","QROO","states",NULL,NULL
"SAN LUIS POTOSI","SLP","states",NULL,NULL
"SINALOA","SIN","states",NULL,NULL
"SONORA","SON","states",NULL,NULL
"TABASCO","TAB","states",NULL,NULL
"TAMAULIPAS","TAMP","states",NULL,NULL
"TLAXCALA","TLAX","states",NULL,NULL
"VERACRUZ","VER","states",NULL,NULL
"YUCATAN","YUC","states",NULL,NULL
"ZACATECAS","ZAC","states",NULL,NULL
