"name","value","taxonomy","code1","code2"
"Aguascalientes","1","states_soda",NULL,NULL
"Baja California","2","states_soda",NULL,NULL
"Baja California Sur","3","states_soda",NULL,NULL
"Campeche","4","states_soda",NULL,NULL
"Chiapas","5","states_soda",NULL,NULL
"Chihuahua","6","states_soda",NULL,NULL
"CDMX","7","states_soda",NULL,NULL
"Coahuila de Zaragoza","8","states_soda",NULL,NULL
"Colima","9","states_soda",NULL,NULL
"Durango","10","states_soda",NULL,NULL
"Guanajuato","11","states_soda",NULL,NULL
"Guerrero","12","states_soda",NULL,NULL
"Hidalgo","13","states_soda",NULL,NULL
"Jalisco","14","states_soda",NULL,NULL
"México","15","states_soda",NULL,NULL
"Michoacán de Ocampo","16","states_soda",NULL,NULL
"Morelos","17","states_soda",NULL,NULL
"Nayarit","18","states_soda",NULL,NULL
"Nuevo León","19","states_soda",NULL,NULL
"Oaxaca","20","states_soda",NULL,NULL
"Puebla","21","states_soda",NULL,NULL
"Querétaro","22","states_soda",NULL,NULL
"Quintana Roo","23","states_soda",NULL,NULL
"San Luis Potosí","24","states_soda",NULL,NULL
"Sinaloa","25","states_soda",NULL,NULL
"Sonora","26","states_soda",NULL,NULL
"Tabasco","27","states_soda",NULL,NULL
"Tamaulipas","28","states_soda",NULL,NULL
"Tlaxcala","29","states_soda",NULL,NULL
"Veracruz de Ignacio de la Llave","30","states_soda",NULL,NULL
"Yucatán","31","states_soda",NULL,NULL
"Zacatecas","32","states_soda",NULL,NULL
"NA (extranjero)","33","states_soda",NULL,NULL
