"name","value","taxonomy","code1","code2"
"ORGANIZACIONES DEPORTIVAS","ORGANIZACIONES DEPORTIVAS","subclasificacion_actividad",NULL,NULL
"ADMINISTRACION Y ARRENDAMIENTO DE INMUEBLES","ADMINISTRACION Y ARRENDAMIENTO DE INMUEBLES","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA DE BIENES MUEBLES","COMPRAVENTA DE BIENES MUEBLES","subclasificacion_actividad",NULL,NULL
"AGENCIA ADUANAL","AGENCIA ADUANAL","subclasificacion_actividad",NULL,NULL
"AGENCIAS DE MUDANZA","AGENCIAS DE MUDANZA","subclasificacion_actividad",NULL,NULL
"SERVICIOS PROFESIONALES Y TECNICOS","SERVICIOS PROFESIONALES Y TECNICOS","subclasificacion_actividad",NULL,NULL
"AGENCIA DE TURISMO","AGENCIA DE TURISMO","subclasificacion_actividad",NULL,NULL
"SERVICIOS DE JUEGOS Y SORTEOS","SERVICIOS DE JUEGOS Y SORTEOS","subclasificacion_actividad",NULL,NULL
"AGENTE DE BOLSA","AGENTE DE BOLSA","subclasificacion_actividad",NULL,NULL
"AGENTE DE SEGUROS","AGENTE DE SEGUROS","subclasificacion_actividad",NULL,NULL
"AGROPECUARIO SILVICULTURA Y PESCA","AGROPECUARIO SILVICULTURA Y PESCA","subclasificacion_actividad",NULL,NULL
"ORGANIZACIONES CIVICAS, LABORALES Y SINDICALES","ORGANIZACIONES CIVICAS, LABORALES Y SINDICALES","subclasificacion_actividad",NULL,NULL
"ALMACENES DE DEPOSITO NACIONALES","ALMACENES DE DEPOSITO NACIONALES","subclasificacion_actividad",NULL,NULL
"ALMACENES DE DEPOSITO PRIVADOS","ALMACENES DE DEPOSITO PRIVADOS","subclasificacion_actividad",NULL,NULL
"ALQUILER DE MOBILIARIO","ALQUILER DE MOBILIARIO","subclasificacion_actividad",NULL,NULL
"ALQUILER DE VEHICULOS TERRESTES, MARITIMOS Y AEREOS","ALQUILER DE VEHICULOS TERRESTES, MARITIMOS Y AEREOS","subclasificacion_actividad",NULL,NULL
"ALQUILER DE ROPA","ALQUILER DE ROPA","subclasificacion_actividad",NULL,NULL
"ALQUILER DE DE INMUEBLES","ALQUILER DE DE INMUEBLES","subclasificacion_actividad",NULL,NULL
"ALQUILER O RENTA DE AUTOMOVILES SIN CHOFER","ALQUILER O RENTA DE AUTOMOVILES SIN CHOFER","subclasificacion_actividad",NULL,NULL
"AMA DE CASA","AMA DE CASA","subclasificacion_actividad",NULL,NULL
"SERVICIOS FINANCIEROS ASESORES, COMICIONISTAS, ARENDADOREAS NACIONALES Y PRIVADAS, TRASMISORES O DISPERSORES DE DINERO ETC","SERVICIOS FINANCIEROS ASESORES, COMICIONISTAS, ARENDADOREAS NACIONALES Y PRIVADAS, TRASMISORES O DISPERSORES DE DINERO ETC","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA MAQUINARIA Y SUS REFACCIONES","COMPRAVENTA MAQUINARIA Y SUS REFACCIONES","subclasificacion_actividad",NULL,NULL
"SERVICIO AUTOMOTRIZ","SERVICIO AUTOMOTRIZ","subclasificacion_actividad",NULL,NULL
"SERVICIOS DE BELLEZA","SERVICIOS DE BELLEZA","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA DE ALIMENTOS Y BEBIDAS","COMPRAVENTA DE ALIMENTOS Y BEBIDAS","subclasificacion_actividad",NULL,NULL
"BOLSA DE VALORES","BOLSA DE VALORES","subclasificacion_actividad",NULL,NULL
"CAJA DE AHORROS","CAJA DE AHORROS","subclasificacion_actividad",NULL,NULL
"CAMARAS INDUSTRIALES","CAMARAS INDUSTRIALES","subclasificacion_actividad",NULL,NULL
"CAMBISTAS O CENTROS CAMBIARIOS","CAMBISTAS O CENTROS CAMBIARIOS","subclasificacion_actividad",NULL,NULL
"CASA DE CAMBIO","CASA DE CAMBIO","subclasificacion_actividad",NULL,NULL
"CASAS DE BOLSA NACIONALES","CASAS DE BOLSA NACIONALES","subclasificacion_actividad",NULL,NULL
"CASAS DE BOLSA PRIVADAS","CASAS DE BOLSA PRIVADAS","subclasificacion_actividad",NULL,NULL
"ASOCIACIONES CIVILES","ASOCIACIONES CIVILES","subclasificacion_actividad",NULL,NULL
"CENTROS CAMBIARIOS","CENTROS CAMBIARIOS","subclasificacion_actividad",NULL,NULL
"COMISIONISTA","COMISIONISTA","subclasificacion_actividad",NULL,NULL
"COMPAÑIAS DE FIANZAS NACIONALES","COMPAÑIAS DE FIANZAS NACIONALES","subclasificacion_actividad",NULL,NULL
"COMPAÑIAS DE FIANZAS PRIVADAS","COMPAÑIAS DE FIANZAS PRIVADAS","subclasificacion_actividad",NULL,NULL
"COMPAÑIAS DE SEGUROS NACIONALES","COMPAÑIAS DE SEGUROS NACIONALES","subclasificacion_actividad",NULL,NULL
"COMPAÑIAS DE SEGUROS PRIVADAS","COMPAÑIAS DE SEGUROS PRIVADAS","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA DE INMUEBLES","COMPRAVENTA DE INMUEBLES","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA DE MUEBLES Y ARTICULOS PARA EL HOGAR","COMPRAVENTA DE MUEBLES Y ARTICULOS PARA EL HOGAR","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA DE ARMAS DE FUEGO Y SUS ACCESORIOS","COMPRAVENTA DE ARMAS DE FUEGO Y SUS ACCESORIOS","subclasificacion_actividad",NULL,NULL
"COMPRAVENTA DE ARTICULOS DE CRISTAL LOZA Y PORCELANA","COMPRAVENTA DE ARTICULOS DE CRISTAL LOZA Y PORCELANA","subclasificacion_actividad",NULL,NULL
