"name","value","taxonomy","code1","code2"
"Asociación Civil ( A.C)","asociaci_n_civil___a_c_","tipo_sociedad",NULL,NULL
"Sociedad Anónima (S.A.)","sociedad_an_nima__s_a__","tipo_sociedad",NULL,NULL
"Sociedad Anónima Bursatil (S.A.B.)","sociedad_an_nima_bursatil__s_a_b__","tipo_sociedad",NULL,NULL
"Sociedad Anónima Bursatil de Capital Variable (S.A.B. de C. V.)","sociedad_an_nima_bursatil_de_capital_variable__s_a_b__de_c__v__","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable (S. A. de C. V.)","sociedad_an_nima_de_capital_variable__s__a__de_c__v__","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable Sociedad Financiera de Objeto Limitado","sociedad_an_nima_de_capital_variable_sociedad_financiera_de_objeto_limitado","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable Sociedad Financiera de Objeto Múltiple Entidad  No Regulada (S.A de C.V. SOFOM ENR)","sociedad_an_nima_de_capital_variable_sociedad_financiera_de_objeto_m_ltiple_entidad__no_regulada__s_a_de_c_v__sofom_enr_","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable Sociedad Financiera de Objeto Múltiple Entidad  Regulada (S.A de C.V. SOFOM ER)","sociedad_an_nima_de_capital_variable_sociedad_financiera_de_objeto_m_ltiple_entidad__regulada__s_a_de_c_v__sofom_er_","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable, Casa de Bolsa (S.A de C.V. Casa de Bolsa)","sociedad_an_nima_de_capital_variable__casa_de_bolsa__s_a_de_c_v__casa_de_bolsa_","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable, Institución de Financiamiento Colectivo (IFC)","sociedad_an_nima_de_capital_variable__instituci_n_de_financiamiento_colectivo__ifc_","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable, Institución de Fondos de Pago Electrónico (IFPE)","sociedad_an_nima_de_capital_variable__instituci_n_de_fondos_de_pago_electr_nico__ifpe_","tipo_sociedad",NULL,NULL
"Sociedad Anónima de Capital Variable, Sociedad Financiera Popular (SOFIPO)","sociedad_an_nima_de_capital_variable__sociedad_financiera_popular__sofipo_","tipo_sociedad",NULL,NULL
"Sociedad Anónima Promotora de Inversión Bursatil (S.A.P.I.B.)","sociedad_an_nima_promotora_de_inversi_n_bursatil__s_a_p_i_b__","tipo_sociedad",NULL,NULL
"Sociedad Anónima Promotora de Inversión de Capital Variable (S.A.P.I. de C.V.)","sociedad_an_nima_promotora_de_inversi_n_de_capital_variable__s_a_p_i__de_c_v__","tipo_sociedad",NULL,NULL
