"name","value","taxonomy","code1","code2"
"01000","01000","zipcode",NULL,NULL
"01010","01010","zipcode",NULL,NULL
"01020","01020","zipcode",NULL,NULL
"01030","01030","zipcode",NULL,NULL
"01040","01040","zipcode",NULL,NULL
"01049","01049","zipcode",NULL,NULL
"01050","01050","zipcode",NULL,NULL
"01060","01060","zipcode",NULL,NULL
"01070","01070","zipcode",NULL,NULL
"01080","01080","zipcode",NULL,NULL
"01089","01089","zipcode",NULL,NULL
"01090","01090","zipcode",NULL,NULL
"01100","01100","zipcode",NULL,NULL
"01109","01109","zipcode",NULL,NULL
"01110","01110","zipcode",NULL,NULL
"01120","01120","zipcode",NULL,NULL
"01125","01125","zipcode",NULL,NULL
"01130","01130","zipcode",NULL,NULL
"01139","01139","zipcode",NULL,NULL
"01140","01140","zipcode",NULL,NULL
"01150","01150","zipcode",NULL,NULL
"01160","01160","zipcode",NULL,NULL
"01170","01170","zipcode",NULL,NULL
"01180","01180","zipcode",NULL,NULL
"01200","01200","zipcode",NULL,NULL
"01210","01210","zipcode",NULL,NULL
"01219","01219","zipcode",NULL,NULL
"01220","01220","zipcode",NULL,NULL
"01230","01230","zipcode",NULL,NULL
"01239","01239","zipcode",NULL,NULL
"01240","01240","zipcode",NULL,NULL
"01250","01250","zipcode",NULL,NULL
"01259","01259","zipcode",NULL,NULL
"01260","01260","zipcode",NULL,NULL
"01269","01269","zipcode",NULL,NULL
"01270","01270","zipcode",NULL,NULL
"01275","01275","zipcode",NULL,NULL
"01276","01276","zipcode",NULL,NULL
"01278","01278","zipcode",NULL,NULL
"01279","01279","zipcode",NULL,NULL
"01280","01280","zipcode",NULL,NULL
"01285","01285","zipcode",NULL,NULL
"01289","01289","zipcode",NULL,NULL
"01290","01290","zipcode",NULL,NULL
"01296","01296","zipcode",NULL,NULL
"01298","01298","zipcode",NULL,NULL
"01299","01299","zipcode",NULL,NULL
"01310","01310","zipcode",NULL,NULL
"01320","01320","zipcode",NULL,NULL
"01330","01330","zipcode",NULL,NULL
"01340","01340","zipcode",NULL,NULL
"01376","01376","zipcode",NULL,NULL
"01377","01377","zipcode",NULL,NULL
"01389","01389","zipcode",NULL,NULL
"01400","01400","zipcode",NULL,NULL
"01407","01407","zipcode",NULL,NULL
"01408","01408","zipcode",NULL,NULL
"01410","01410","zipcode",NULL,NULL
"01419","01419","zipcode",NULL,NULL
"01420","01420","zipcode",NULL,NULL
"01430","01430","zipcode",NULL,NULL
"01450","01450","zipcode",NULL,NULL
"01460","01460","zipcode",NULL,NULL
"01470","01470","zipcode",NULL,NULL
"01480","01480","zipcode",NULL,NULL
"01490","01490","zipcode",NULL,NULL
"01500","01500","zipcode",NULL,NULL
"01509","01509","zipcode",NULL,NULL
"01510","01510","zipcode",NULL,NULL
"01520","01520","zipcode",NULL,NULL
"01530","01530","zipcode",NULL,NULL
"01538","01538","zipcode",NULL,NULL
"01539","01539","zipcode",NULL,NULL
"01540","01540","zipcode",NULL,NULL
"01548","01548","zipcode",NULL,NULL
"01549","01549","zipcode",NULL,NULL
"01550","01550","zipcode",NULL,NULL
"01560","01560","zipcode",NULL,NULL
"01566","01566","zipcode",NULL,NULL
"01569","01569","zipcode",NULL,NULL
"01588","01588","zipcode",NULL,NULL
"01590","01590","zipcode",NULL,NULL
"01600","01600","zipcode",NULL,NULL
"01610","01610","zipcode",NULL,NULL
"01618","01618","zipcode",NULL,NULL
"01619","01619","zipcode",NULL,NULL
"01620","01620","zipcode",NULL,NULL
"01630","01630","zipcode",NULL,NULL
"01640","01640","zipcode",NULL,NULL
"01645","01645","zipcode",NULL,NULL
"01650","01650","zipcode",NULL,NULL
"01700","01700","zipcode",NULL,NULL
"01708","01708","zipcode",NULL,NULL
"01710","01710","zipcode",NULL,NULL
"01720","01720","zipcode",NULL,NULL
"01729","01729","zipcode",NULL,NULL
"01730","01730","zipcode",NULL,NULL
"01740","01740","zipcode",NULL,NULL
"01750","01750","zipcode",NULL,NULL
"01759","01759","zipcode",NULL,NULL
"01760","01760","zipcode",NULL,NULL
"01770","01770","zipcode",NULL,NULL
"01780","01780","zipcode",NULL,NULL
"01789","01789","zipcode",NULL,NULL
"01790","01790","zipcode",NULL,NULL
"01800","01800","zipcode",NULL,NULL
"01807","01807","zipcode",NULL,NULL
"01810","01810","zipcode",NULL,NULL
"01820","01820","zipcode",NULL,NULL
"01830","01830","zipcode",NULL,NULL
"01840","01840","zipcode",NULL,NULL
"01849","01849","zipcode",NULL,NULL
"01857","01857","zipcode",NULL,NULL
"01859","01859","zipcode",NULL,NULL
"01860","01860","zipcode",NULL,NULL
"01863","01863","zipcode",NULL,NULL
"01870","01870","zipcode",NULL,NULL
"01900","01900","zipcode",NULL,NULL
"01904","01904","zipcode",NULL,NULL
"02000","02000","zipcode",NULL,NULL
"02010","02010","zipcode",NULL,NULL
"02020","02020","zipcode",NULL,NULL
"02040","02040","zipcode",NULL,NULL
"02050","02050","zipcode",NULL,NULL
"02060","02060","zipcode",NULL,NULL
"02070","02070","zipcode",NULL,NULL
"02080","02080","zipcode",NULL,NULL
"02090","02090","zipcode",NULL,NULL
"02099","02099","zipcode",NULL,NULL
"02100","02100","zipcode",NULL,NULL
"02120","02120","zipcode",NULL,NULL
"02128","02128","zipcode",NULL,NULL
