"name","value","taxonomy","code1","code2"
"1210","30","zipcode_mulaware",NULL,NULL
"1219","31","zipcode_mulaware",NULL,NULL
"1220","32","zipcode_mulaware",NULL,NULL
"1230","33","zipcode_mulaware",NULL,NULL
"1239","34","zipcode_mulaware",NULL,NULL
"﻿1000","1","zipcode_mulaware",NULL,NULL
"1010","2","zipcode_mulaware",NULL,NULL
"1020","3","zipcode_mulaware",NULL,NULL
"1029","4","zipcode_mulaware",NULL,NULL
"1030","5","zipcode_mulaware",NULL,NULL
"1040","6","zipcode_mulaware",NULL,NULL
"1048","7","zipcode_mulaware",NULL,NULL
"1049","8","zipcode_mulaware",NULL,NULL
"1050","9","zipcode_mulaware",NULL,NULL
"1060","10","zipcode_mulaware",NULL,NULL
"1070","11","zipcode_mulaware",NULL,NULL
"1080","12","zipcode_mulaware",NULL,NULL
"1089","13","zipcode_mulaware",NULL,NULL
"1090","14","zipcode_mulaware",NULL,NULL
"1100","15","zipcode_mulaware",NULL,NULL
"1109","16","zipcode_mulaware",NULL,NULL
"1110","17","zipcode_mulaware",NULL,NULL
"1120","18","zipcode_mulaware",NULL,NULL
"1125","19","zipcode_mulaware",NULL,NULL
"1130","20","zipcode_mulaware",NULL,NULL
"1139","21","zipcode_mulaware",NULL,NULL
"1140","22","zipcode_mulaware",NULL,NULL
"1150","23","zipcode_mulaware",NULL,NULL
"1159","24","zipcode_mulaware",NULL,NULL
"1160","25","zipcode_mulaware",NULL,NULL
"1170","26","zipcode_mulaware",NULL,NULL
"1180","27","zipcode_mulaware",NULL,NULL
"1184","28","zipcode_mulaware",NULL,NULL
"1200","29","zipcode_mulaware",NULL,NULL
"1240","35","zipcode_mulaware",NULL,NULL
"1250","36","zipcode_mulaware",NULL,NULL
"1259","37","zipcode_mulaware",NULL,NULL
"1260","38","zipcode_mulaware",NULL,NULL
"1269","39","zipcode_mulaware",NULL,NULL
"1270","40","zipcode_mulaware",NULL,NULL
"1275","41","zipcode_mulaware",NULL,NULL
"1276","42","zipcode_mulaware",NULL,NULL
"1278","43","zipcode_mulaware",NULL,NULL
"1279","44","zipcode_mulaware",NULL,NULL
"1280","45","zipcode_mulaware",NULL,NULL
"1285","46","zipcode_mulaware",NULL,NULL
"1289","47","zipcode_mulaware",NULL,NULL
"1290","48","zipcode_mulaware",NULL,NULL
"1296","49","zipcode_mulaware",NULL,NULL
"1298","50","zipcode_mulaware",NULL,NULL
"1299","51","zipcode_mulaware",NULL,NULL
"1310","52","zipcode_mulaware",NULL,NULL
"1320","53","zipcode_mulaware",NULL,NULL
"1330","54","zipcode_mulaware",NULL,NULL
"1340","55","zipcode_mulaware",NULL,NULL
"1376","56","zipcode_mulaware",NULL,NULL
"1377","57","zipcode_mulaware",NULL,NULL
"1379","58","zipcode_mulaware",NULL,NULL
"1389","59","zipcode_mulaware",NULL,NULL
"1400","60","zipcode_mulaware",NULL,NULL
"1407","61","zipcode_mulaware",NULL,NULL
"1408","62","zipcode_mulaware",NULL,NULL
"1410","63","zipcode_mulaware",NULL,NULL
"1419","64","zipcode_mulaware",NULL,NULL
"1420","65","zipcode_mulaware",NULL,NULL
"1430","66","zipcode_mulaware",NULL,NULL
"1440","67","zipcode_mulaware",NULL,NULL
"1450","68","zipcode_mulaware",NULL,NULL
"1460","69","zipcode_mulaware",NULL,NULL
"1470","70","zipcode_mulaware",NULL,NULL
"1480","71","zipcode_mulaware",NULL,NULL
"1490","72","zipcode_mulaware",NULL,NULL
"1500","73","zipcode_mulaware",NULL,NULL
"1509","74","zipcode_mulaware",NULL,NULL
"1510","75","zipcode_mulaware",NULL,NULL
"1520","76","zipcode_mulaware",NULL,NULL
"1530","77","zipcode_mulaware",NULL,NULL
"1537","78","zipcode_mulaware",NULL,NULL
